n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
25,,,,,,,True,5,25,25,25,25
49,,,,,,,True,7,49,49,49,49
73,7,8,20,20,730,292,True,,73,73,73,73
97,3,2,10,25,4850,970,True,,97,97,97,97
121,,,,,,,True,11,1,121,121,121
145,,,,,,,True,5,25,145,145,145
169,,,,,,,True,13,49,169,169,169
193,7,8,20,50,4825,1930,True,,73,193,193,193
217,,,,,,,True,7,97,217,217,217
241,11,2,42,63,30366,1446,True,,1,241,241,241
265,,,,,,,True,5,25,265,265,265
289,,,,,,,True,17,49,289,289,289
313,7,8,20,80,12520,5008,True,,73,313,313,313
337,3,2,10,85,57290,11458,True,,97,337,337,337
361,,,,,,,True,19,1,361,361,361
385,,,,,,,True,5,25,385,385,385
409,7,2,26,104,85072,6544,True,,49,409,409,409
433,7,8,20,110,23815,9526,True,,73,433,433,433
457,3,2,10,115,105110,21022,True,,97,457,457,457
481,,,,,,,True,13,1,481,481,481
505,,,,,,,True,5,25,505,505,505
529,,,,,,,True,23,49,529,529,529
553,,,,,,,True,7,73,553,553,553
577,3,2,10,145,167330,33466,True,,97,577,577,577
601,15,4,56,154,92554,6611,True,,1,601,601,601
625,,,,,,,True,5,25,625,625,625
649,,,,,,,True,11,49,649,649,649
673,7,8,20,170,57205,22882,True,,73,673,673,673
697,,,,,,,True,17,97,697,697,697
721,,,,,,,True,7,1,721,721,721
745,,,,,,,True,5,25,745,745,745
769,11,5,39,195,119964,15380,True,,49,769,769,769
793,,,,,,,True,13,73,793,793,793
817,,,,,,,True,19,97,817,817,817
841,,,,,,,True,29,1,1,841,841
865,,,,,,,True,5,25,25,865,865
889,,,,,,,True,7,49,49,889,889
913,,,,,,,True,11,73,73,913,913
937,3,2,10,235,440390,88078,True,,97,97,937,937
961,,,,,,,True,31,1,121,961,961
985,,,,,,,True,5,25,145,985,985
1009,3,1,11,253,1021108,92828,True,,49,169,1009,1009
1033,7,2,26,260,537160,41320,True,,73,193,1033,1033
1057,,,,,,,True,7,97,217,1057,1057
1081,,,,,,,True,23,1,241,1081,1081
1105,,,,,,,True,5,25,265,1105,1105
1129,11,6,38,285,214510,33870,True,,49,289,1129,1129
1153,7,8,20,290,167185,66874,True,,73,313,1153,1153
1177,,,,,,,True,11,97,337,1177,1177
1201,23,24,68,306,61251,21618,True,,1,361,1201,1201
1225,,,,,,,True,5,25,385,1225,1225
1249,11,2,42,315,786870,37470,True,,49,409,1249,1249
1273,,,,,,,True,19,73,433,1273,1273
1297,3,2,10,325,843050,168610,True,,97,457,1297,1297
1321,23,8,84,336,221928,21136,True,,1,481,1321,1321
1345,,,,,,,True,5,25,505,1345,1345
1369,,,,,,,True,37,49,529,1369,1369
1393,,,,,,,True,7,73,553,1393,1393
1417,,,,,,,True,13,97,577,1417,1417
1441,,,,,,,True,11,1,601,1441,1441
1465,,,,,,,True,5,25,625,1465,1465
1489,7,11,17,374,202504,131032,True,,49,649,1489,1489
1513,,,,,,,True,17,73,673,1513,1513
1537,,,,,,,True,29,97,697,1537,1537
1561,,,,,,,True,7,1,721,1561,1561
1585,,,,,,,True,5,25,745,1585,1585
1609,15,2,58,406,1306508,45052,True,,49,769,1609,1609
1633,,,,,,,True,23,73,793,1633,1633
1657,3,2,10,415,1375310,275062,True,,97,817,1657,1657
1681,,,,,,,True,41,1,1,1681,1681
1705,,,,,,,True,5,25,25,1705,1705
1729,,,,,,,True,7,49,49,1729,1729
1753,7,8,20,440,385660,154264,True,,73,73,1753,1753
1777,3,2,10,445,1581530,316306,True,,97,97,1777,1777
1801,3,1,11,451,3249004,295364,True,,1,121,1801,1801
1825,,,,,,,True,5,25,145,1825,1825
1849,,,,,,,True,43,49,169,1849,1849
1873,7,8,20,470,440155,176062,True,,73,193,1873,1873
1897,,,,,,,True,7,97,217,1897,1897
1921,,,,,,,True,17,1,241,1921,1921
1945,,,,,,,True,5,25,265,1945,1945
1969,,,,,,,True,11,49,289,1969,1969
1993,7,8,20,500,498250,199300,True,,73,313,1993,1993
2017,3,2,10,505,2037170,407434,True,,97,337,2017,2017
2041,,,,,,,True,13,1,361,2041,2041
2065,,,,,,,True,5,25,385,2065,2065
2089,11,2,42,525,2193450,104450,True,,49,409,2089,2089
2113,7,8,20,530,559945,223978,True,,73,433,2113,2113
2137,3,2,10,535,2286590,457318,True,,97,457,2137,2137
2161,23,1,91,546,4719624,51864,True,,1,481,2161,2161
2185,,,,,,,True,5,25,505,2185,2185
2209,,,,,,,True,47,49,529,2209,2209
2233,,,,,,,True,7,73,553,2233,2233
2257,,,,,,,True,37,97,577,2257,2257
2281,7,2,26,572,2609464,200728,True,,1,601,2281,2281
2305,,,,,,,True,5,25,625,2305,2305
2329,,,,,,,True,17,49,649,2329,2329
