d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,small_prime_powers,automatic_small_prime_powers,nonautomatic_small_prime_powers,prime_condition,prime_condition_enough_on_n_1_mod_24,automatic_reasons
11,1,43,172,43,43,38712,"F1: a=1, b=p=4d-1",43,,,,"n mod 43 in {0,32}",True,
11,3,41,492,123,3*41,38516,"F3: a=3, b=p=4d-3",41,3,3,,"n mod 41 in {0,30}",True,n == 1 mod 3 and d == 2 mod 3
19,2,74,148,74,2*37,34590,"F2: a=2, b=2p, p=2d-1",37,2,2,,"n mod 37 in {0,18}",True,"n is odd and d is odd, so n+d is even"
15,1,59,236,59,59,26382,"F1: a=1, b=p=4d-1",59,,,,"n mod 59 in {0,44}",True,
11,6,38,228,114,2*3*19,19718,"F4: a=6, b=2p, p=2d-3",19,2;3,2;3,,"n mod 19 in {0,8}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
27,2,106,212,106,2*53,18462,"F2: a=2, b=2p, p=2d-1",53,2,2,,"n mod 53 in {0,26}",True,"n is odd and d is odd, so n+d is even"
15,2,58,116,58,2*29,17888,"F2: a=2, b=2p, p=2d-1",29,2,2,,"n mod 29 in {0,14}",True,"n is odd and d is odd, so n+d is even"
23,24,68,408,408,2^3*3*17,17832,"F5: a=24, b=4p, p=d-6",17,8;3,8;3,,"n mod 17 in {0,11}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
31,2,122,244,122,2*61,17455,"F2: a=2, b=2p, p=2d-1",61,2,2,,"n mod 61 in {0,30}",True,"n is odd and d is odd, so n+d is even"
11,15,29,1740,435,3*5*29,17381,G: one dominant prime factor,29,3;5,3,5,"n mod 29 in {0,18}",False,n == 1 mod 3 and d == 2 mod 3
23,3,89,1068,267,3*89,15494,"F3: a=3, b=p=4d-3",89,3,3,,"n mod 89 in {0,66}",True,n == 1 mod 3 and d == 2 mod 3
19,14,62,868,434,2*7*31,15360,G: one dominant prime factor,31,2;7,2,7,"n mod 31 in {0,12}",False,"n is odd and d is odd, so n+d is even"
23,23,69,276,69,3*23,15047,G: one dominant prime factor,23,3,3,,"n mod 23 in {0,0}",True,n == 1 mod 3 and d == 2 mod 3
23,6,86,516,258,2*3*43,14998,"F4: a=6, b=2p, p=2d-3",43,2;3,2;3,,"n mod 43 in {0,20}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
35,6,134,804,402,2*3*67,13954,"F4: a=6, b=2p, p=2d-3",67,2;3,2;3,,"n mod 67 in {0,32}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
7,11,17,748,187,11*17,13361,G: one dominant prime factor,17,11,,11,"n mod 17 in {0,10}",False,
35,2,138,276,138,2*3*23,12797,G: one dominant prime factor,23,2;3,2;3,,"n mod 23 in {0,11}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
19,5,71,1420,355,5*71,11771,G: one dominant prime factor,71,5,,5,"n mod 71 in {0,52}",False,
47,2,186,372,186,2*3*31,11201,G: one dominant prime factor,31,2;3,2;3,,"n mod 31 in {0,15}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
27,1,107,428,107,107,11080,"F1: a=1, b=p=4d-1",107,,,,"n mod 107 in {0,80}",True,
39,8,148,296,296,2^3*37,10972,G: one dominant prime factor,37,8,8,,"n mod 37 in {0,35}",True,n == 1 mod 8 and d == 7 mod 8
31,8,116,232,232,2^3*29,9749,G: one dominant prime factor,29,8,8,,"n mod 29 in {0,27}",True,n == 1 mod 8 and d == 7 mod 8
47,4,184,184,184,2^3*23,9542,G: one dominant prime factor,23,8,8,,"n mod 23 in {0,22}",True,n == 1 mod 8 and d == 7 mod 8
47,24,164,984,984,2^3*3*41,8134,"F5: a=24, b=4p, p=d-6",41,8;3,8;3,,"n mod 41 in {0,35}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
31,62,62,124,62,2*31,7994,G: one dominant prime factor,31,2,2,,"n mod 31 in {0,0}",True,"n is odd and d is odd, so n+d is even"
39,20,136,680,680,2^3*5*17,7987,G: one dominant prime factor,17,8;5,8,5,"n mod 17 in {0,12}",False,n == 1 mod 8 and d == 7 mod 8
63,4,248,248,248,2^3*31,7978,G: one dominant prime factor,31,8,8,,"n mod 31 in {0,30}",True,n == 1 mod 8 and d == 7 mod 8
