d,a,b,q,dominant_prime,support_count,extra_moduli,extra_condition_count,prime_condition,extra_conditions,compound_conditions_enough,status
11,15,29,1740,29,17381,5,1,"n mod 29 in {0,18}","n mod 5 in {0,4}",True,passed
19,14,62,868,31,15360,7,1,"n mod 31 in {0,12}","n mod 7 in {0,2}",True,passed
7,11,17,748,17,13361,11,1,"n mod 17 in {0,10}","n mod 11 in {0,4}",True,passed
19,5,71,1420,71,11771,5,1,"n mod 71 in {0,52}","n mod 5 in {0,1}",True,passed
39,20,136,680,17,7987,5,1,"n mod 17 in {0,12}","n mod 5 in {0,1}",True,passed
39,1,155,620,31,7572,5,1,"n mod 31 in {0,23}","n mod 5 in {0,1}",True,passed
23,18,74,1332,37,7048,9,1,"n mod 37 in {0,14}","n mod 9 in {0,4}",True,passed
23,9,83,2988,83,6460,9,1,"n mod 83 in {0,60}","n mod 9 in {0,4}",True,passed
59,6,230,1380,23,5977,5,1,"n mod 23 in {0,10}","n mod 5 in {0,1}",True,passed
11,17,27,1836,17,4915,27,1,"n mod 17 in {0,6}","n mod 27 in {0,16}",True,passed
47,16,172,688,43,4685,16,1,"n mod 43 in {0,39}","n mod 16 in {0,1}",True,passed
31,32,92,736,23,4490,32,1,"n mod 23 in {0,15}","n mod 32 in {0,1}",True,passed
23,39,53,8268,53,4415,13,1,"n mod 53 in {0,30}","n mod 13 in {0,3}",True,passed
27,14,94,1316,47,4110,7,1,"n mod 47 in {0,20}","n mod 7 in {0,1}",True,passed
39,10,146,1460,73,3962,5,1,"n mod 73 in {0,34}","n mod 5 in {0,1}",True,passed
23,16,76,304,19,3805,16,1,"n mod 19 in {0,15}","n mod 16 in {0,9}",True,passed
35,18,122,2196,61,1530,9,1,"n mod 61 in {0,26}","n mod 9 in {0,1}",True,passed
15,23,37,3404,37,1520,23,1,"n mod 37 in {0,22}","n mod 23 in {0,8}",True,passed
35,9,131,4716,131,1433,9,1,"n mod 131 in {0,96}","n mod 9 in {0,1}",True,passed
23,13,79,4108,79,1121,13,1,"n mod 79 in {0,56}","n mod 13 in {0,3}",True,passed
59,1,235,940,47,1086,5,1,"n mod 47 in {0,35}","n mod 5 in {0,1}",True,passed
39,5,151,3020,151,1072,5,1,"n mod 151 in {0,112}","n mod 5 in {0,1}",True,passed
59,14,222,3108,37,1059,7,1,"n mod 37 in {0,15}","n mod 7 in {0,4}",True,passed
47,36,152,1368,19,1053,9,1,"n mod 19 in {0,10}","n mod 9 in {0,7}",True,passed
23,38,54,2052,19,1032,27,1,"n mod 19 in {0,15}","n mod 27 in {0,4}",True,passed
47,72,116,2088,29,1010,9,1,"n mod 29 in {0,11}","n mod 9 in {0,7}",True,passed
47,42,146,6132,73,991,7,1,"n mod 73 in {0,26}","n mod 7 in {0,2}",True,passed
19,35,41,5740,41,970,5;7,2,"n mod 41 in {0,22}","n mod 5 in {0,1} AND n mod 7 in {0,2}",True,passed
43,29,143,16588,29,951,11;13,2,"n mod 29 in {0,15}","n mod 11 in {0,1} AND n mod 13 in {0,9}",True,passed
51,10,194,1940,97,934,5,1,"n mod 97 in {0,46}","n mod 5 in {0,4}",True,passed
19,23,53,4876,53,934,23,1,"n mod 53 in {0,34}","n mod 23 in {0,4}",True,passed
95,12,368,1104,23,913,16,1,"n mod 23 in {0,20}","n mod 16 in {0,1}",True,passed
63,16,236,944,59,869,16,1,"n mod 59 in {0,55}","n mod 16 in {0,1}",True,passed
39,46,110,5060,23,840,5;11,2,"n mod 23 in {0,7}","n mod 5 in {0,1} AND n mod 11 in {0,5}",True,passed
31,56,68,952,17,820,7,1,"n mod 17 in {0,3}","n mod 7 in {0,4}",True,passed
27,26,82,2132,41,820,13,1,"n mod 41 in {0,14}","n mod 13 in {0,12}",True,passed
79,20,296,1480,37,814,5,1,"n mod 37 in {0,32}","n mod 5 in {0,1}",True,passed
59,10,226,2260,113,811,5,1,"n mod 113 in {0,54}","n mod 5 in {0,1}",True,passed
15,17,43,2924,43,789,17,1,"n mod 43 in {0,28}","n mod 17 in {0,2}",True,passed
59,30,206,6180,103,765,5,1,"n mod 103 in {0,44}","n mod 5 in {0,1}",True,passed
47,9,179,6444,179,764,9,1,"n mod 179 in {0,132}","n mod 9 in {0,7}",True,passed
43,26,146,3796,73,763,13,1,"n mod 73 in {0,30}","n mod 13 in {0,9}",True,passed
55,32,188,1504,47,753,32,1,"n mod 47 in {0,39}","n mod 32 in {0,9}",True,passed
71,120,164,4920,41,748,5,1,"n mod 41 in {0,11}","n mod 5 in {0,4}",True,passed
31,50,74,3700,37,748,25,1,"n mod 37 in {0,6}","n mod 25 in {0,19}",True,passed
71,72,212,3816,53,745,9,1,"n mod 53 in {0,35}","n mod 9 in {0,1}",True,passed
39,64,92,1472,23,729,64,1,"n mod 23 in {0,7}","n mod 64 in {0,25}",True,passed
71,36,248,2232,31,729,9,1,"n mod 31 in {0,22}","n mod 9 in {0,1}",True,passed
47,14,174,2436,29,728,7,1,"n mod 29 in {0,11}","n mod 7 in {0,2}",True,passed
27,7,101,2828,101,725,7,1,"n mod 101 in {0,74}","n mod 7 in {0,1}",True,passed
39,40,116,1160,29,718,5,1,"n mod 29 in {0,19}","n mod 5 in {0,1}",True,passed
35,11,129,5676,43,704,11,1,"n mod 43 in {0,8}","n mod 11 in {0,9}",True,passed
35,66,74,4884,37,689,11,1,"n mod 37 in {0,2}","n mod 11 in {0,9}",True,passed
71,16,268,1072,67,670,16,1,"n mod 67 in {0,63}","n mod 16 in {0,9}",True,passed
71,48,236,2832,59,665,16,1,"n mod 59 in {0,47}","n mod 16 in {0,9}",True,passed
71,5,279,5580,31,646,9;5,2,"n mod 31 in {0,22}","n mod 9 in {0,1} AND n mod 5 in {0,4}",True,passed
23,31,61,7564,61,644,31,1,"n mod 61 in {0,38}","n mod 31 in {0,8}",True,passed
47,21,167,14028,167,628,7,1,"n mod 167 in {0,120}","n mod 7 in {0,2}",True,passed
71,12,272,816,17,622,16,1,"n mod 17 in {0,14}","n mod 16 in {0,9}",True,passed
71,40,244,2440,61,621,5,1,"n mod 61 in {0,51}","n mod 5 in {0,4}",True,passed
35,54,86,4644,43,619,27,1,"n mod 43 in {0,8}","n mod 27 in {0,19}",True,passed
95,36,344,3096,43,615,9,1,"n mod 43 in {0,34}","n mod 9 in {0,4}",True,passed
47,7,181,5068,181,604,7,1,"n mod 181 in {0,134}","n mod 7 in {0,2}",True,passed
35,27,113,12204,113,599,27,1,"n mod 113 in {0,78}","n mod 27 in {0,19}",True,passed
59,50,186,9300,31,585,25,1,"n mod 31 in {0,3}","n mod 25 in {0,16}",True,passed
55,104,116,3016,29,556,13,1,"n mod 29 in {0,3}","n mod 13 in {0,10}",True,passed
27,46,62,2852,31,551,23,1,"n mod 31 in {0,4}","n mod 23 in {0,19}",True,passed
71,30,254,7620,127,549,5,1,"n mod 127 in {0,56}","n mod 5 in {0,4}",True,passed
51,5,199,3980,199,527,5,1,"n mod 199 in {0,148}","n mod 5 in {0,4}",True,passed
39,32,124,992,31,517,32,1,"n mod 31 in {0,23}","n mod 32 in {0,25}",True,passed
59,18,218,3924,109,515,9,1,"n mod 109 in {0,50}","n mod 9 in {0,4}",True,passed
39,50,106,5300,53,505,25,1,"n mod 53 in {0,14}","n mod 25 in {0,11}",True,passed
35,22,118,2596,59,500,11,1,"n mod 59 in {0,24}","n mod 11 in {0,9}",True,passed
59,9,227,8172,227,487,9,1,"n mod 227 in {0,168}","n mod 9 in {0,4}",True,passed
19,29,47,5452,47,485,29,1,"n mod 47 in {0,28}","n mod 29 in {0,10}",True,passed
31,35,89,12460,89,461,5;7,2,"n mod 89 in {0,58}","n mod 5 in {0,4} AND n mod 7 in {0,4}",True,passed
63,88,164,3608,41,459,11,1,"n mod 41 in {0,19}","n mod 11 in {0,3}",True,passed
95,52,328,4264,41,459,13,1,"n mod 41 in {0,28}","n mod 13 in {0,9}",True,passed
119,12,464,1392,29,459,16,1,"n mod 29 in {0,26}","n mod 16 in {0,9}",True,passed
19,17,59,4012,59,452,17,1,"n mod 59 in {0,40}","n mod 17 in {0,15}",True,passed
95,6,374,2244,17,445,11,1,"n mod 17 in {0,7}","n mod 11 in {0,4}",True,passed
15,19,41,3116,41,436,19,1,"n mod 41 in {0,26}","n mod 19 in {0,4}",True,passed
75,1,299,1196,23,435,13,1,"n mod 23 in {0,17}","n mod 13 in {0,3}",True,passed
87,7,341,9548,31,423,7;11,2,"n mod 31 in {0,6}","n mod 7 in {0,4} AND n mod 11 in {0,1}",True,passed
63,64,188,3008,47,421,64,1,"n mod 47 in {0,31}","n mod 64 in {0,1}",True,passed
55,56,164,2296,41,418,7,1,"n mod 41 in {0,27}","n mod 7 in {0,1}",True,passed
119,6,470,2820,47,414,5,1,"n mod 47 in {0,22}","n mod 5 in {0,1}",True,passed
75,13,287,14924,41,412,7;13,2,"n mod 41 in {0,7}","n mod 7 in {0,2} AND n mod 13 in {0,3}",True,passed
95,3,377,4524,29,405,13,1,"n mod 29 in {0,21}","n mod 13 in {0,9}",True,passed
47,54,134,7236,67,401,27,1,"n mod 67 in {0,20}","n mod 27 in {0,7}",True,passed
111,20,424,2120,53,383,5,1,"n mod 53 in {0,48}","n mod 5 in {0,4}",True,passed
39,22,134,2948,67,381,11,1,"n mod 67 in {0,28}","n mod 11 in {0,5}",True,passed
87,16,332,1328,83,379,16,1,"n mod 83 in {0,79}","n mod 16 in {0,9}",True,passed
119,16,460,1840,23,371,16;5,2,"n mod 23 in {0,19}","n mod 16 in {0,9} AND n mod 5 in {0,1}",True,passed
55,26,194,5044,97,369,13,1,"n mod 97 in {0,42}","n mod 13 in {0,10}",True,passed
35,38,102,3876,19,368,17,1,"n mod 19 in {0,3}","n mod 17 in {0,16}",True,passed
55,92,128,2944,23,361,128,1,"n mod 23 in {0,14}","n mod 128 in {0,73}",True,passed
59,42,194,8148,97,360,7,1,"n mod 97 in {0,38}","n mod 7 in {0,4}",True,passed
27,47,61,11468,61,357,47,1,"n mod 61 in {0,34}","n mod 47 in {0,20}",True,passed
59,21,215,18060,43,355,5;7,2,"n mod 43 in {0,27}","n mod 5 in {0,1} AND n mod 7 in {0,4}",True,passed
131,6,518,3108,37,339,7,1,"n mod 37 in {0,17}","n mod 7 in {0,2}",True,passed
55,14,206,2884,103,337,7,1,"n mod 103 in {0,48}","n mod 7 in {0,1}",True,passed
