extra_moduli,rules_seen,rules_passed,rules_failed,support_count,examples
5,26,26,0,65727,"d=11, pair=(15,29), p=29, n mod 5 in {0,4} | d=19, pair=(5,71), p=71, n mod 5 in {0,1} | d=39, pair=(20,136), p=17, n mod 5 in {0,1} | d=39, pair=(1,155), p=31, n mod 5 in {0,1} | d=59, pair=(6,230), p=23, n mod 5 in {0,1} | d=39, pair=(10,146), p=73, n mod 5 in {0,1}"
7,21,21,0,28433,"d=19, pair=(14,62), p=31, n mod 7 in {0,2} | d=27, pair=(14,94), p=47, n mod 7 in {0,1} | d=59, pair=(14,222), p=37, n mod 7 in {0,4} | d=47, pair=(42,146), p=73, n mod 7 in {0,2} | d=31, pair=(56,68), p=17, n mod 7 in {0,4} | d=47, pair=(14,174), p=29, n mod 7 in {0,2}"
9,15,15,0,23023,"d=23, pair=(18,74), p=37, n mod 9 in {0,4} | d=23, pair=(9,83), p=83, n mod 9 in {0,4} | d=35, pair=(18,122), p=61, n mod 9 in {0,1} | d=35, pair=(9,131), p=131, n mod 9 in {0,1} | d=47, pair=(36,152), p=19, n mod 9 in {0,7} | d=47, pair=(72,116), p=29, n mod 9 in {0,7}"
11,9,9,0,17029,"d=7, pair=(11,17), p=17, n mod 11 in {0,4} | d=35, pair=(11,129), p=43, n mod 11 in {0,9} | d=35, pair=(66,74), p=37, n mod 11 in {0,9} | d=35, pair=(22,118), p=59, n mod 11 in {0,9} | d=63, pair=(88,164), p=41, n mod 11 in {0,3} | d=95, pair=(6,374), p=17, n mod 11 in {0,4}"
16,13,13,0,13990,"d=47, pair=(16,172), p=43, n mod 16 in {0,1} | d=23, pair=(16,76), p=19, n mod 16 in {0,9} | d=95, pair=(12,368), p=23, n mod 16 in {0,1} | d=63, pair=(16,236), p=59, n mod 16 in {0,1} | d=71, pair=(16,268), p=67, n mod 16 in {0,9} | d=71, pair=(48,236), p=59, n mod 16 in {0,9}"
13,13,13,0,10351,"d=23, pair=(39,53), p=53, n mod 13 in {0,3} | d=23, pair=(13,79), p=79, n mod 13 in {0,3} | d=27, pair=(26,82), p=41, n mod 13 in {0,12} | d=43, pair=(26,146), p=73, n mod 13 in {0,9} | d=55, pair=(104,116), p=29, n mod 13 in {0,10} | d=95, pair=(52,328), p=41, n mod 13 in {0,9}"
27,6,6,0,7847,"d=11, pair=(17,27), p=17, n mod 27 in {0,16} | d=23, pair=(38,54), p=19, n mod 27 in {0,4} | d=35, pair=(54,86), p=43, n mod 27 in {0,19} | d=35, pair=(27,113), p=113, n mod 27 in {0,19} | d=47, pair=(54,134), p=67, n mod 27 in {0,7} | d=71, pair=(68,216), p=17, n mod 27 in {0,10}"
32,8,8,0,7121,"d=31, pair=(32,92), p=23, n mod 32 in {0,1} | d=55, pair=(32,188), p=47, n mod 32 in {0,9} | d=39, pair=(32,124), p=31, n mod 32 in {0,25} | d=79, pair=(32,284), p=71, n mod 32 in {0,17} | d=119, pair=(32,444), p=37, n mod 32 in {0,9} | d=87, pair=(32,316), p=79, n mod 32 in {0,9}"
23,5,5,0,3461,"d=15, pair=(23,37), p=37, n mod 23 in {0,8} | d=19, pair=(23,53), p=53, n mod 23 in {0,4} | d=27, pair=(46,62), p=31, n mod 23 in {0,19} | d=51, pair=(46,158), p=79, n mod 23 in {0,18} | d=31, pair=(23,101), p=101, n mod 23 in {0,15}"
25,8,8,0,2985,"d=31, pair=(50,74), p=37, n mod 25 in {0,19} | d=59, pair=(50,186), p=31, n mod 25 in {0,16} | d=39, pair=(50,106), p=53, n mod 25 in {0,11} | d=39, pair=(25,131), p=131, n mod 25 in {0,11} | d=59, pair=(86,150), p=43, n mod 25 in {0,16} | d=111, pair=(100,344), p=43, n mod 25 in {0,14}"
17,8,8,0,2908,"d=15, pair=(17,43), p=43, n mod 17 in {0,2} | d=19, pair=(17,59), p=59, n mod 17 in {0,15} | d=35, pair=(38,102), p=19, n mod 17 in {0,16} | d=27, pair=(34,74), p=37, n mod 17 in {0,7} | d=35, pair=(17,123), p=41, n mod 17 in {0,16} | d=63, pair=(68,184), p=23, n mod 17 in {0,5}"
