r,M,d,a,b,rule_modulus,covered_count
1,1125164040,23,24,68,408,1102
1,1125164040,11,6,38,228,870
1,1125164040,15,2,58,116,510
1,1125164040,39,20,136,680,459
1,1125164040,39,4,152,152,378
1,1125164040,39,40,116,1160,224
1,1125164040,31,8,116,232,224
1,1125164040,35,38,102,3876,25
289,892371480,11,10,34,340,874
289,892371480,11,6,38,228,690
289,892371480,71,8,276,552,510
289,892371480,23,24,68,408,357
289,892371480,131,14,510,7140,357
289,892371480,39,4,152,152,273
289,892371480,35,2,138,276,208
289,892371480,75,1,299,1196,208
289,892371480,47,4,184,184,208
289,892371480,35,38,102,3876,18
289,892371480,71,114,170,19380,18
361,1125164040,23,24,68,408,1102
361,1125164040,119,20,456,2280,870
361,1125164040,55,104,116,3016,510
361,1125164040,39,20,136,680,459
361,1125164040,31,56,68,952,459
361,1125164040,11,6,38,228,351
361,1125164040,39,4,152,152,351
361,1125164040,15,2,58,116,195
361,1125164040,39,40,116,1160,195
361,1125164040,31,8,116,232,195
361,1125164040,35,38,102,3876,24
361,1125164040,143,21,551,46284,13
529,892371480,11,10,34,340,874
529,892371480,11,6,38,228,690
529,892371480,71,8,276,552,510
529,892371480,23,24,68,408,357
529,892371480,95,68,312,5304,357
529,892371480,31,5,119,2380,357
529,892371480,39,4,152,152,252
529,892371480,35,2,138,276,192
529,892371480,47,4,184,184,192
529,892371480,35,38,102,3876,19
529,892371480,87,161,187,120428,16
529,892371480,63,68,184,3128,16
841,1125164040,23,24,68,408,1102
841,1125164040,119,20,456,2280,870
841,1125164040,39,11,145,6380,510
841,1125164040,95,68,312,5304,459
841,1125164040,39,20,136,680,459
841,1125164040,11,6,38,228,351
841,1125164040,39,4,152,152,351
841,1125164040,215,24,836,5016,351
841,1125164040,15,2,58,116,182
841,1125164040,95,3,377,4524,182
841,1125164040,31,8,116,232,182
841,1125164040,35,38,102,3876,24
841,1125164040,191,68,696,11832,14
961,1139458320,95,6,374,2244,1116
961,1139458320,23,24,68,408,558
961,1139458320,7,11,17,748,558
961,1139458320,39,20,136,680,558
961,1139458320,39,1,155,620,432
961,1139458320,71,12,272,816,261
961,1139458320,63,4,248,248,207
961,1139458320,19,14,62,868,207
961,1139458320,47,2,186,372,207
961,1139458320,11,17,27,1836,52
961,1139458320,71,68,216,3672,26
1201,710629920,119,36,440,3960,1972
1201,710629920,47,32,156,1248,986
1201,710629920,23,24,68,408,348
1201,710629920,15,2,58,116,180
1201,710629920,47,52,136,1768,162
1201,710629920,39,20,136,680,162
1201,710629920,31,56,68,952,162
1201,710629920,71,12,272,816,108
1201,710629920,39,40,116,1160,68
1201,710629920,31,8,116,232,68
1369,506666160,35,26,114,2964,444
1369,506666160,11,6,38,228,222
1369,506666160,39,4,152,152,222
1369,506666160,39,8,148,296,180
1369,506666160,23,16,76,304,105
1369,506666160,59,14,222,3108,87
1369,506666160,87,52,296,3848,87
1369,506666160,19,2,74,148,87
1369,506666160,191,24,740,4440,87
1369,506666160,47,36,152,1368,62
1369,506666160,23,18,74,1332,29
1681,561440880,35,26,114,2964,492
1681,561440880,119,20,456,2280,246
1681,561440880,11,6,38,228,246
1681,561440880,39,4,152,152,246
1681,561440880,11,3,41,492,168
1681,561440880,23,16,76,304,117
1681,561440880,55,56,164,2296,81
1681,561440880,47,36,152,1368,76
1681,561440880,35,41,99,16236,27
1849,588828240,11,6,38,228,516
1849,588828240,39,4,152,152,258
1849,588828240,11,1,43,172,192
1849,588828240,23,16,76,304,123
1849,588828240,111,14,430,6020,93
1849,588828240,23,6,86,516,93
1849,588828240,47,36,152,1368,78
1849,588828240,47,16,172,688,47
2209,1151710560,11,10,34,340,1128
2209,1151710560,23,24,68,408,564
2209,1151710560,31,5,119,2380,564
2209,1151710560,143,8,564,1128,312
2209,1151710560,71,12,272,816,270
2209,1151710560,143,68,504,8568,180
2209,1151710560,95,4,376,376,146
2209,1151710560,71,2,282,564,146
2209,1151710560,55,32,188,1504,35
2521,1125164040,23,24,68,408,1102
2521,1125164040,11,6,38,228,870
2521,1125164040,15,2,58,116,510
2521,1125164040,27,17,91,6188,459
2521,1125164040,39,20,136,680,459
2521,1125164040,39,4,152,152,351
2521,1125164040,39,40,116,1160,208
2521,1125164040,31,8,116,232,208
2521,1125164040,79,26,290,7540,208
2521,1125164040,35,38,102,3876,24
2641,465585120,11,18,26,468,1292
2641,465585120,23,24,68,408,304
2641,465585120,11,6,38,228,240
2641,465585120,39,20,136,680,136
2641,465585120,39,4,152,152,112
2641,465585120,71,12,272,816,64
2641,465585120,159,76,560,10640,56
2641,465585120,47,76,112,2128,56
2641,465585120,23,16,76,304,52
2641,465585120,215,252,608,38304,13
2641,465585120,35,38,102,3876,8
2809,216456240,11,10,34,340,212
2809,216456240,95,6,374,2244,106
2809,216456240,23,24,68,408,106
2809,216456240,131,14,510,7140,106
2809,216456240,7,11,17,748,106
2809,216456240,71,12,272,816,53
2809,216456240,55,8,212,424,42
2809,216456240,111,20,424,2120,21
2809,216456240,27,2,106,212,21
2809,216456240,87,136,212,7208,2
3361,837236400,19,26,50,1300,1394
3361,837236400,23,24,68,408,656
3361,837236400,39,20,136,680,328
3361,837236400,11,3,41,492,224
3361,837236400,71,12,272,816,156
3361,837236400,55,56,164,2296,108
3481,807927120,119,20,456,2280,708
3481,807927120,11,6,38,228,354
3481,807927120,39,4,152,152,354
3481,807927120,215,24,836,5016,354
3481,807927120,47,76,112,2128,177
3481,807927120,23,16,76,304,177
3481,807927120,15,1,59,236,156
3481,807927120,47,36,152,1368,57
3721,835314480,119,20,456,2280,732
3721,835314480,11,6,38,228,366
3721,835314480,39,4,152,152,366
3721,835314480,63,76,176,3344,183
3721,835314480,23,16,76,304,183
3721,835314480,31,2,122,244,168
3721,835314480,47,36,152,1368,118
3721,835314480,35,18,122,2196,28
4369,698377680,31,44,80,880,2907
4369,698377680,251,14,990,13860,969
4369,698377680,119,44,432,4752,323
4369,698377680,11,10,34,340,190
4369,698377680,11,6,38,228,150
4369,698377680,23,24,68,408,85
4369,698377680,71,12,272,816,85
4369,698377680,39,4,152,152,65
4369,698377680,23,16,76,304,65
4369,698377680,47,36,152,1368,26
4369,698377680,35,38,102,3876,5
4489,917476560,35,26,114,2964,804
4489,917476560,11,6,38,228,402
4489,917476560,39,4,152,152,402
4489,917476560,47,76,112,2128,201
4489,917476560,23,16,76,304,201
4489,917476560,35,6,134,804,168
4489,917476560,47,36,152,1368,65
5041,972251280,55,38,182,6916,852
5041,972251280,11,6,38,228,426
5041,972251280,39,4,152,152,426
5041,972251280,63,76,176,3344,213
5041,972251280,23,16,76,304,213
5041,972251280,19,5,71,1420,168
5041,972251280,47,36,152,1368,138
5329,298137840,11,10,34,340,292
5329,298137840,23,24,68,408,146
5329,298137840,131,14,510,7140,146
5329,298137840,39,68,88,1496,146
5329,298137840,71,12,272,816,73
5329,298137840,47,42,146,6132,46
5569,767807040,47,32,156,1248,1598
5569,767807040,151,32,572,4576,1598
5569,767807040,11,10,34,340,376
5569,767807040,23,24,68,408,188
5569,767807040,47,52,136,1768,188
5569,767807040,31,5,119,2380,188
5569,767807040,71,2,282,564,96
5569,767807040,71,12,272,816,90
5569,767807040,63,64,188,3008,12
5881,506666160,15,16,44,176,2109
5881,506666160,15,22,38,836,222
5881,506666160,11,6,38,228,111
5881,506666160,39,4,152,152,111
5881,506666160,23,16,76,304,111
5881,506666160,79,20,296,1480,84
5881,506666160,39,8,148,296,42
5881,506666160,99,26,370,9620,42
5881,506666160,19,2,74,148,42
5881,506666160,47,36,152,1368,32
5881,506666160,23,18,74,1332,14
6241,322642320,23,24,68,408,316
6241,322642320,7,11,17,748,158
6241,322642320,39,20,136,680,158
6241,322642320,31,56,68,952,158
6241,322642320,71,12,272,816,79
6241,322642320,99,1,395,1580,46
6889,1016935920,11,10,34,340,996
6889,1016935920,23,24,68,408,498
6889,1016935920,27,17,91,6188,498
6889,1016935920,71,12,272,816,249
6889,1016935920,23,9,83,2988,50
7561,892371480,95,6,374,2244,874
7561,892371480,119,20,456,2280,690
7561,892371480,59,6,230,1380,510
7561,892371480,23,24,68,408,357
7561,892371480,7,11,17,748,357
7561,892371480,39,20,136,680,357
7561,892371480,11,6,38,228,252
7561,892371480,39,4,152,152,252
7561,892371480,71,8,276,552,180
7561,892371480,35,2,138,276,180
7561,892371480,47,4,184,184,180
7561,892371480,167,24,644,3864,180
7561,892371480,63,68,184,3128,15
7921,406245840,35,26,114,2964,356
7921,406245840,119,20,456,2280,178
7921,406245840,11,6,38,228,178
7921,406245840,39,4,152,152,178
7921,406245840,23,16,76,304,89
7921,406245840,23,3,89,1068,54
8089,1125164040,11,10,34,340,1102
8089,1125164040,11,6,38,228,870
8089,1125164040,15,2,58,116,510
8089,1125164040,95,6,374,2244,459
8089,1125164040,23,24,68,408,459
8089,1125164040,7,11,17,748,459
8089,1125164040,31,5,119,2380,459
8089,1125164040,39,4,152,152,297
8089,1125164040,11,15,29,1740,176
8089,1125164040,31,8,116,232,176
8089,1125164040,95,116,264,7656,176
8761,588828240,119,20,456,2280,516
8761,588828240,11,6,38,228,258
8761,588828240,39,4,152,152,258
8761,588828240,11,1,43,172,180
8761,588828240,23,16,76,304,123
8761,588828240,87,4,344,344,87
8761,588828240,23,6,86,516,87
8761,588828240,59,21,215,18060,87
8761,588828240,47,36,152,1368,76
8761,588828240,47,16,172,688,44
8761,588828240,31,38,86,3268,6
9409,198077880,11,10,34,340,194
9409,198077880,7,11,17,748,97
9409,198077880,23,24,68,408,97
9409,198077880,111,56,388,5432,26
9409,198077880,51,10,194,1940,13
9601,844443600,19,26,50,1300,1406
9601,844443600,119,20,456,2280,592
9601,844443600,11,6,38,228,296
9601,844443600,39,4,152,152,296
9601,844443600,39,8,148,296,240
9601,844443600,71,76,208,3952,140
9601,844443600,23,16,76,304,140
9601,844443600,35,66,74,4884,112
9601,844443600,123,11,481,21164,112
9601,844443600,59,14,222,3108,112
9601,844443600,19,2,74,148,112
10201,412492080,23,24,68,408,404
10201,412492080,7,11,17,748,202
10201,412492080,39,20,136,680,202
10201,412492080,71,12,272,816,101
10201,412492080,51,2,202,404,50
10441,725765040,11,18,26,468,2014
10441,725765040,11,6,38,228,424
10441,725765040,39,4,152,152,212
10441,725765040,27,2,106,212,128
10441,725765040,23,16,76,304,102
10609,1138257120,35,2,138,276,824
10609,1138257120,47,4,184,184,412
10609,1138257120,31,32,92,736,103
10609,1138257120,63,46,206,9476,8
10921,698377680,23,24,68,408,684
10921,698377680,11,6,38,228,540
10921,698377680,39,20,136,680,306
10921,698377680,39,4,152,152,252
10921,698377680,71,12,272,816,144
10921,698377680,79,44,272,2992,144
10921,698377680,23,16,76,304,117
10921,698377680,47,36,152,1368,78
10921,698377680,55,68,152,2584,18
10921,698377680,71,68,216,3672,16
10921,698377680,11,17,27,1836,14
10921,698377680,23,38,54,2052,13
11281,1125164040,23,24,68,408,1102
11281,1125164040,71,132,152,5016,870
11281,1125164040,55,104,116,3016,510
11281,1125164040,39,20,136,680,459
11281,1125164040,31,56,68,952,459
11281,1125164040,119,20,456,2280,351
11281,1125164040,11,6,38,228,351
11281,1125164040,39,4,152,152,351
11281,1125164040,15,2,58,116,182
11281,1125164040,39,40,116,1160,182
11281,1125164040,31,8,116,232,182
11449,436996560,11,10,34,340,428
11449,436996560,23,24,68,408,214
11449,436996560,95,68,312,5304,214
11449,436996560,31,5,119,2380,214
11449,436996560,71,12,272,816,107
11449,436996560,27,1,107,428,46
11449,436996560,111,16,428,1712,12
11881,995074080,119,20,456,2280,872
11881,995074080,11,6,38,228,436
11881,995074080,39,4,152,152,436
11881,995074080,23,16,76,304,218
11881,995074080,55,2,218,436,116
11881,995074080,159,28,608,4256,107
12601,424504080,71,132,152,5016,372
12601,424504080,39,1,155,620,204
12601,424504080,35,26,114,2964,174
12601,424504080,119,20,456,2280,174
12601,424504080,11,6,38,228,174
12601,424504080,39,4,152,152,174
12601,424504080,23,16,76,304,87
12601,424504080,27,31,77,9548,75
12601,424504080,63,4,248,248,75
12601,424504080,35,62,78,4836,75
12601,424504080,47,2,186,372,75
12601,424504080,95,8,372,744,75
12601,424504080,47,36,152,1368,48
12721,661861200,19,26,50,1300,1102
12721,661861200,119,20,456,2280,464
12721,661861200,39,11,145,6380,272
12721,661861200,11,6,38,228,216
12721,661861200,39,4,152,152,216
12721,661861200,215,24,836,5016,216
12721,661861200,71,52,232,3016,112
12721,661861200,15,2,58,116,112
12721,661861200,31,8,116,232,112
12721,661861200,47,14,174,2436,112
12721,661861200,71,76,208,3952,92
12721,661861200,23,16,76,304,92
12721,661861200,79,116,200,5800,26
12769,230750520,11,10,34,340,226
12769,230750520,23,24,68,408,113
12769,230750520,119,24,452,2712,28
13561,506666160,167,44,624,6864,2109
13561,506666160,11,18,26,468,703
13561,506666160,119,20,456,2280,148
13561,506666160,11,6,38,228,74
13561,506666160,39,4,152,152,74
13561,506666160,47,76,112,2128,74
13561,506666160,79,20,296,1480,56
13561,506666160,39,8,148,296,28
13561,506666160,63,104,148,3848,28
13561,506666160,35,66,74,4884,28
13561,506666160,19,2,74,148,28
13561,506666160,23,18,74,1332,14
13729,167447280,11,10,34,340,164
13729,167447280,23,24,68,408,82
13729,167447280,71,120,164,4920,56
13729,167447280,71,12,272,816,39
13729,167447280,11,3,41,492,27
13729,167447280,47,24,164,984,27
13729,167447280,35,17,123,8364,2
14401,1125164040,23,24,68,408,1102
14401,1125164040,119,20,456,2280,870
14401,1125164040,55,104,116,3016,510
14401,1125164040,39,20,136,680,459
14401,1125164040,11,6,38,228,378
14401,1125164040,39,4,152,152,378
14401,1125164040,15,2,58,116,210
14401,1125164040,39,40,116,1160,210
14401,1125164040,31,8,116,232,210
14401,1125164040,47,14,174,2436,210
14569,931170240,11,10,34,340,912
14569,931170240,11,6,38,228,720
14569,931170240,23,24,68,408,408
14569,931170240,95,68,312,5304,408
14569,931170240,303,68,1144,19448,408
14569,931170240,39,68,88,1496,408
14569,931170240,39,4,152,152,264
14569,931170240,215,24,836,5016,264
14569,931170240,71,12,272,816,180
14569,931170240,47,76,112,2128,132
14569,931170240,23,16,76,304,120
14569,931170240,47,36,152,1368,40
14569,931170240,111,64,380,6080,33
15121,629909280,15,16,44,176,2622
15121,629909280,11,18,26,468,874
15121,629909280,167,252,416,26208,437
15121,629909280,15,22,38,836,138
15121,629909280,59,6,230,1380,102
15121,629909280,11,6,38,228,63
15121,629909280,39,4,152,152,63
15121,629909280,23,16,76,304,63
15121,629909280,71,8,276,552,42
15121,629909280,35,2,138,276,42
15121,629909280,47,4,184,184,42
15121,629909280,103,44,368,4048,42
15121,629909280,59,38,198,7524,17
15409,892371480,11,10,34,340,874
15409,892371480,35,26,114,2964,690
15409,892371480,71,8,276,552,510
15409,892371480,23,24,68,408,357
15409,892371480,131,14,510,7140,357
15409,892371480,11,6,38,228,273
15409,892371480,39,4,152,152,273
15409,892371480,35,2,138,276,195
15409,892371480,47,4,184,184,195
15409,892371480,55,68,152,2584,19
15649,397116720,15,16,44,176,1653
15649,397116720,15,22,38,836,174
15649,397116720,15,2,58,116,102
15649,397116720,11,6,38,228,81
15649,397116720,39,4,152,152,81
15649,397116720,23,16,76,304,81
15649,397116720,11,15,29,1740,42
15649,397116720,31,8,116,232,42
15649,397116720,59,33,203,26796,42
15649,397116720,59,38,198,7524,24
15649,397116720,47,36,152,1368,24
16129,579699120,11,6,38,228,508
16129,579699120,39,4,152,152,254
16129,579699120,63,76,176,3344,127
16129,579699120,23,16,76,304,127
16129,579699120,71,30,254,7620,60
16249,944863920,31,44,80,880,3933
16249,944863920,119,44,432,4752,437
16249,944863920,11,6,38,228,368
16249,944863920,71,8,276,552,272
16249,944863920,39,4,152,152,168
16249,944863920,131,30,494,14820,168
16249,944863920,23,16,76,304,168
16249,944863920,131,69,455,125580,112
16249,944863920,35,2,138,276,112
16249,944863920,47,4,184,184,112
16921,1125164040,23,24,68,408,1102
16921,1125164040,119,20,456,2280,870
16921,1125164040,15,2,58,116,510
16921,1125164040,39,20,136,680,459
16921,1125164040,11,6,38,228,378
16921,1125164040,39,4,152,152,378
16921,1125164040,39,40,116,1160,210
16921,1125164040,31,8,116,232,210
16921,1125164040,47,14,174,2436,210
16921,1125164040,35,38,102,3876,24
16921,1125164040,55,68,152,2584,24
17161,236035800,35,9,131,4716,10
17161,236035800,39,25,131,13100,5
17761,698377680,15,16,44,176,2907
17761,698377680,23,24,68,408,342
17761,698377680,119,20,456,2280,270
17761,698377680,299,6,1190,7140,153
17761,698377680,39,20,136,680,153
17761,698377680,59,66,170,11220,153
17761,698377680,71,12,272,816,153
17761,698377680,15,22,38,836,99
17761,698377680,11,6,38,228,99
17761,698377680,39,4,152,152,99
17761,698377680,23,16,76,304,99
17761,698377680,59,38,198,7524,33
17761,698377680,47,36,152,1368,33
17761,698377680,11,17,27,1836,12
17761,698377680,55,68,152,2584,9
18001,506666160,11,6,38,228,444
18001,506666160,39,4,152,152,222
18001,506666160,79,20,296,1480,192
18001,506666160,23,16,76,304,105
18001,506666160,39,8,148,296,93
18001,506666160,59,14,222,3108,93
18001,506666160,19,2,74,148,93
18001,506666160,47,36,152,1368,64
18001,506666160,23,18,74,1332,31
18481,506666160,239,20,936,4680,1406
18481,506666160,11,6,38,228,296
18481,506666160,39,4,152,152,148
18481,506666160,19,2,74,148,128
18481,506666160,47,36,152,1368,70
18481,506666160,23,16,76,304,70
18769,625344720,11,6,38,228,548
18769,625344720,39,4,152,152,274
18769,625344720,63,76,176,3344,137
18769,625344720,23,16,76,304,137
18769,625344720,35,3,137,1644,60
18841,1136575440,35,26,114,2964,996
18841,1136575440,11,6,38,228,498
18841,1136575440,39,4,152,152,498
18841,1136575440,23,16,76,304,249
18841,1136575440,47,36,152,1368,166
18841,1136575440,23,9,83,2988,58
19009,1125164040,11,10,34,340,1102
19009,1125164040,11,6,38,228,870
19009,1125164040,15,2,58,116,510
19009,1125164040,23,24,68,408,459
19009,1125164040,231,40,884,8840,459
19009,1125164040,31,5,119,2380,459
19009,1125164040,39,4,152,152,324
19009,1125164040,11,15,29,1740,192
19009,1125164040,31,8,116,232,192
19009,1125164040,35,38,102,3876,25
19009,1125164040,55,68,152,2584,25
19321,634473840,83,66,266,17556,556
19321,634473840,11,6,38,228,278
19321,634473840,39,4,152,152,278
19321,634473840,23,16,76,304,139
19321,634473840,71,6,278,1668,58
19321,634473840,35,1,139,556,29
19321,634473840,143,16,556,2224,15
19681,1125164040,23,24,68,408,1102
19681,1125164040,11,6,38,228,870
19681,1125164040,15,2,58,116,510
19681,1125164040,39,20,136,680,459
19681,1125164040,31,56,68,952,459
19681,1125164040,39,4,152,152,351
19681,1125164040,39,40,116,1160,208
19681,1125164040,31,8,116,232,208
19681,1125164040,79,26,290,7540,208
19681,1125164040,79,95,221,83980,24
20329,1125164040,11,10,34,340,1102
20329,1125164040,55,38,182,6916,870
20329,1125164040,55,104,116,3016,510
20329,1125164040,23,24,68,408,459
20329,1125164040,11,6,38,228,378
20329,1125164040,39,4,152,152,378
20329,1125164040,15,2,58,116,210
20329,1125164040,11,15,29,1740,210
20329,1125164040,31,8,116,232,210
20329,1125164040,111,38,406,15428,14
20521,707506800,19,26,50,1300,1178
20521,707506800,71,132,152,5016,496
20521,707506800,39,1,155,620,272
20521,707506800,119,20,456,2280,232
20521,707506800,11,6,38,228,232
20521,707506800,39,4,152,152,232
20521,707506800,23,16,76,304,116
20521,707506800,63,4,248,248,108
20521,707506800,47,2,186,372,108
21121,1125164040,23,24,68,408,1102
21121,1125164040,119,20,456,2280,870
21121,1125164040,15,2,58,116,510
21121,1125164040,95,68,312,5304,459
21121,1125164040,39,20,136,680,459
21121,1125164040,11,6,38,228,351
21121,1125164040,39,4,152,152,351
21121,1125164040,95,3,377,4524,195
21121,1125164040,39,40,116,1160,195
21121,1125164040,31,8,116,232,195
21121,1125164040,47,14,174,2436,195
21121,1125164040,43,29,143,16588,195
21121,1125164040,75,34,266,9044,22
21169,931170240,47,32,156,1248,1938
21169,931170240,11,10,34,340,684
21169,931170240,83,66,266,17556,540
21169,931170240,23,24,68,408,306
