r,B,M,total_subresidues,covered,uncovered,success,selected_rule_count
1,120120,1125164040,9367,3792,5575,False,8
289,120120,892371480,7429,3721,3708,False,11
361,120120,1125164040,9367,4724,4643,False,12
529,120120,892371480,7429,3832,3597,False,12
841,120120,1125164040,9367,5037,4330,False,13
961,120120,1139458320,9486,4182,5304,False,11
1201,120120,710629920,5916,4216,1700,False,10
1369,120120,506666160,4218,1612,2606,False,11
1681,120120,561440880,4674,1699,2975,False,9
1849,120120,588828240,4902,1400,3502,False,8
2209,120120,1151710560,9588,3345,6243,False,9
2521,120120,1125164040,9367,4399,4968,False,10
2641,120120,465585120,3876,2333,1543,False,11
2809,120120,216456240,1802,775,1027,False,10
3361,120120,837236400,6970,2866,4104,False,6
3481,120120,807927120,6726,2337,4389,False,8
3721,120120,835314480,6954,2144,4810,False,8
4369,120120,698377680,5814,4870,944,False,11
4489,120120,917476560,7638,2243,5395,False,7
5041,120120,972251280,8094,2436,5658,False,7
5329,120120,298137840,2482,849,1633,False,6
5569,120120,767807040,6392,4334,2058,False,9
5881,120120,506666160,4218,2920,1298,False,11
6241,120120,322642320,2686,915,1771,False,6
6889,120120,1016935920,8466,2291,6175,False,5
7561,120120,892371480,7429,4384,3045,False,13
7921,120120,406245840,3382,1033,2349,False,6
8089,120120,1125164040,9367,5143,4224,False,11
8761,120120,588828240,4902,1722,3180,False,11
9409,120120,198077880,1649,427,1222,False,5
9601,120120,844443600,7030,3558,3472,False,11
10201,120120,412492080,3434,959,2475,False,5
10441,120120,725765040,6042,2880,3162,False,5
10609,120120,1138257120,9476,1347,8129,False,4
10921,120120,698377680,5814,2326,3488,False,12
11281,120120,1125164040,9367,4999,4368,False,11
11449,120120,436996560,3638,1235,2403,False,7
11881,120120,995074080,8284,2185,6099,False,6
12601,120120,424504080,3534,1782,1752,False,13
12721,120120,661861200,5510,3144,2366,False,13
12769,120120,230750520,1921,367,1554,False,3
13561,120120,506666160,4218,3364,854,False,12
13729,120120,167447280,1394,397,997,False,7
14401,120120,1125164040,9367,4537,4830,False,10
14569,120120,931170240,7752,4297,3455,False,13
15121,120120,629909280,5244,4547,697,False,13
15409,120120,892371480,7429,3743,3686,False,10
15649,120120,397116720,3306,2346,960,False,11
16129,120120,579699120,4826,1076,3750,False,5
16249,120120,944863920,7866,5850,2016,False,10
16921,120120,1125164040,9367,4375,4992,False,11
17161,120120,236035800,1965,15,1950,False,2
17761,120120,698377680,5814,4614,1200,False,15
18001,120120,506666160,4218,1337,2881,False,9
18481,120120,506666160,4218,2118,2100,False,6
18769,120120,625344720,5206,1156,4050,False,5
18841,120120,1136575440,9462,2465,6997,False,6
19009,120120,1125164040,9367,4617,4750,False,11
19321,120120,634473840,5282,1353,3929,False,7
19681,120120,1125164040,9367,4399,4968,False,10
20329,120120,1125164040,9367,4341,5026,False,10
20521,120120,707506800,5890,2974,2916,False,9
21121,120120,1125164040,9367,5099,4268,False,13
21169,120120,931170240,7752,5119,2633,False,16
21841,120120,698377680,5814,2821,2993,False,12
21961,120120,465585120,3876,1889,1987,False,12
22201,120120,680119440,5662,1399,4263,False,5
22801,120120,689248560,5738,1417,4321,False,5
23521,120120,588828240,4902,1938,2964,False,10
23641,120120,1163962800,9690,6786,2904,False,12
24049,120120,892371480,7429,3515,3914,False,10
24361,120120,292852560,2438,1508,930,False,8
24649,120120,641200560,5338,1463,3875,False,5
24721,120120,843362520,7021,3259,3762,False,7
25489,120120,1065944880,8874,6762,2112,False,12
26041,120120,90450360,753,255,498,False,2
26209,120120,931170240,7752,5712,2040,False,11
26569,120120,665705040,5542,2161,3381,False,7
27721,120120,155195040,1292,694,598,False,7
27889,120120,341020680,2839,1013,1826,False,6
28081,120120,892371480,7429,3515,3914,False,10
28681,120120,790269480,6579,2442,4137,False,9
28921,120120,643602960,5358,2864,2494,False,8
29401,120120,588828240,4902,1444,3458,False,8
29761,120120,698377680,5814,3166,2648,False,12
29929,120120,1059818760,8823,2102,6721,False,4
30241,120120,643602960,5358,2878,2480,False,10
31201,120120,561440880,4674,1425,3249,False,9
31249,120120,917476560,7638,1905,5733,False,7
32041,120120,817056240,6802,1462,5340,False,5
32089,120120,561440880,4674,3630,1044,False,10
32761,120120,826185360,6878,1866,5012,False,6
32881,120120,1145704560,9538,2566,6972,False,6
33049,120120,1125164040,9367,4807,4560,False,12
33289,120120,167447280,1394,659,735,False,11
33601,120120,424504080,3534,2444,1090,False,11
34609,120120,453332880,3774,1047,2727,False,6
35281,120120,892371480,7429,4189,3240,False,11
35401,120120,424504080,3534,2754,780,False,9
35641,120120,1125164040,9367,4492,4875,False,9
36241,120120,314954640,2622,1884,738,False,10
36481,120120,1170088920,9741,2509,7232,False,5
36961,120120,698377680,5814,3462,2352,False,13
37129,120120,453332880,3774,1520,2254,False,9
37249,120120,880960080,7334,2177,5157,False,7
37489,120120,892371480,7429,3496,3933,False,9
