relation_type,focus_r,qA,qB,count,success_rate,example_base_class,notes
unknown_large_lcm,529,244,404,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,412,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,428,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,436,10000,1.0,11532049 mod 187867680,symbolic_too_large
independent,529,244,488,10000,1.0,11532049 mod 187867680,independent
unknown_large_lcm,529,244,556,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,568,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,596,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,628,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,852,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,1068,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,1940,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,1956,10000,1.0,11532049 mod 187867680,symbolic_too_large
independent,529,244,2440,10000,1.0,11532049 mod 187867680,independent
unknown_large_lcm,529,244,2796,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,3980,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,4676,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,6412,10000,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,961,236,404,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,428,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,556,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,596,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,628,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,692,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1004,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1644,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1956,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,2260,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,2796,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,3020,10000,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,4984,9824,1.0,529489921 mod 209280511440,symbolic_too_large
unknown_large_lcm,361,236,404,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,436,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,556,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,804,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1460,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1644,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,2260,9792,1.0,9249601 mod 173453280,symbolic_too_large
independent,361,236,2596,9792,1.0,9249601 mod 173453280,independent
unknown_large_lcm,361,236,2796,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,3020,9792,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,664,9764,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,529,244,7224,9738,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,536,9715,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,361,236,244,9685,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,488,9685,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,568,9653,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1420,9653,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1704,9653,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,4260,9653,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,568,9641,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,852,9641,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1704,9641,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,4260,9636,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,724,9633,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1448,9633,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,536,9630,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,361,236,824,9604,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1236,9604,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,856,9573,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,940,9556,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1128,9556,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,529,244,3288,9547,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,7620,9546,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,424,9532,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,2120,9532,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,632,9492,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,1896,9492,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,961,236,3880,9488,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,361,236,664,9456,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,3880,9396,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,632,9387,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1580,9387,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,1896,9387,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,529,244,4520,9373,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,361,236,5044,9346,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,529,244,2920,9342,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,4088,9342,1.0,11532049 mod 187867680,symbolic_too_large
