d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,residue_count,residue_set,prime_power_local_conditions,hard_core_residues_mod_p,"hard_core_matches_{0,-d}_mod_p"
11,1,43,172,43,43,25844,"F1: a=1, b=p=4d-1",43,2,129;161,"43^1 mod 43: [0, 32]",0;32,True
11,3,41,492,123,3*41,25707,"F3: a=3, b=p=4d-3",41,4,153;205;369;481,"3^1 mod 3: [0, 1]; 41^1 mod 41: [0, 30]",0;30,True
19,2,74,148,74,2*37,23091,"F2: a=2, b=2p, p=2d-1",37,2,37;129,"2^1 mod 2: [0, 1]; 37^1 mod 37: [0, 18]",0;18,True
15,1,59,236,59,59,17612,"F1: a=1, b=p=4d-1",59,2,177;221,"59^1 mod 59: [0, 44]",0;44,True
11,6,38,228,114,2*3*19,13161,"F4: a=6, b=2p, p=2d-3",19,4,57;133;141;217,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 19^1 mod 19: [0, 8]",0;8,True
27,2,106,212,106,2*53,12325,"F2: a=2, b=2p, p=2d-1",53,2,53;185,"2^1 mod 2: [0, 1]; 53^1 mod 53: [0, 26]",0;26,True
15,2,58,116,58,2*29,11940,"F2: a=2, b=2p, p=2d-1",29,2,29;101,"2^1 mod 2: [0, 1]; 29^1 mod 29: [0, 14]",0;14,True
23,24,68,408,408,2^3*3*17,11904,"F5: a=24, b=4p, p=d-6",17,4,153;249;289;385,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 17^1 mod 17: [0, 11]",0;11,True
31,2,122,244,122,2*61,11658,"F2: a=2, b=2p, p=2d-1",61,2,61;213,"2^1 mod 2: [0, 1]; 61^1 mod 61: [0, 30]",0;30,True
11,15,29,1740,435,3*5*29,11603,"G: one dominant prime factor in lcm(a,b)",29,8,105;145;609;685;1149;1189;1305;1729,"3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 4]; 29^1 mod 29: [0, 18]",,False
23,3,89,1068,267,3*89,10343,"F3: a=3, b=p=4d-3",89,4,333;445;801;1045,"3^1 mod 3: [0, 1]; 89^1 mod 89: [0, 66]",0;66,True
19,14,62,868,434,2*7*31,10254,"G: one dominant prime factor in lcm(a,b)",31,4,93;105;217;849,"2^1 mod 2: [0, 1]; 7^1 mod 7: [0, 2]; 31^1 mod 31: [0, 12]",,False
23,23,69,276,69,3*23,10043,"G: one dominant prime factor in lcm(a,b)",23,2,69;253,"3^1 mod 3: [0, 1]; 23^1 mod 23: [0]",0,False
23,6,86,516,258,2*3*43,10015,"F4: a=6, b=2p, p=2d-3",43,4,129;301;321;493,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 43^1 mod 43: [0, 20]",0;20,True
35,6,134,804,402,2*3*67,9316,"F4: a=6, b=2p, p=2d-3",67,4,201;469;501;769,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 67^1 mod 67: [0, 32]",0;32,True
7,11,17,748,187,11*17,8920,"G: one dominant prime factor in lcm(a,b)",17,4,561;605;697;741,"11^1 mod 11: [0, 4]; 17^1 mod 17: [0, 10]",,False
35,2,138,276,138,2*3*23,8543,"G: one dominant prime factor in lcm(a,b)",23,4,57;69;241;253,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 23^1 mod 23: [0, 11]",0;11,True
19,5,71,1420,355,5*71,7855,"G: one dominant prime factor in lcm(a,b)",71,4,265;781;1065;1401,"5^1 mod 5: [0, 1]; 71^1 mod 71: [0, 52]",,False
47,2,186,372,186,2*3*31,7477,"G: one dominant prime factor in lcm(a,b)",31,4,93;201;217;325,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 31^1 mod 31: [0, 15]",0;15,True
27,1,107,428,107,107,7396,"F1: a=1, b=p=4d-1",107,2,321;401,"107^1 mod 107: [0, 80]",0;80,True
39,8,148,296,296,2^3*37,7323,"G: one dominant prime factor in lcm(a,b)",37,2,185;257,"2^3 mod 8: [0, 1]; 37^1 mod 37: [0, 35]",0;35,True
31,8,116,232,232,2^3*29,6511,"G: one dominant prime factor in lcm(a,b)",29,2,145;201,"2^3 mod 8: [0, 1]; 29^1 mod 29: [0, 27]",0;27,True
47,4,184,184,184,2^3*23,6371,"G: one dominant prime factor in lcm(a,b)",23,2,137;161,"2^3 mod 8: [0, 1]; 23^1 mod 23: [0, 22]",0;22,True
47,24,164,984,984,2^3*3*41,5429,"F5: a=24, b=4p, p=d-6",41,4,369;609;697;937,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 41^1 mod 41: [0, 35]",0;35,True
31,62,62,124,62,2*31,5336,"G: one dominant prime factor in lcm(a,b)",31,1,93,"2^1 mod 2: [0, 1]; 31^1 mod 31: [0]",0,False
39,20,136,680,680,2^3*5*17,5331,"G: one dominant prime factor in lcm(a,b)",17,4,425;505;561;641,"2^3 mod 8: [0, 1]; 5^1 mod 5: [0, 1]; 17^1 mod 17: [0, 12]",,False
63,4,248,248,248,2^3*31,5327,"G: one dominant prime factor in lcm(a,b)",31,2,185;217,"2^3 mod 8: [0, 1]; 31^1 mod 31: [0, 30]",0;30,True
23,18,74,1332,666,2*3^2*37,5123,"G: one dominant prime factor in lcm(a,b)",37,4,333;481;1161;1309,"2^1 mod 2: [0, 1]; 3^2 mod 9: [0, 4]; 37^1 mod 37: [0, 14]",,False
39,1,155,620,155,5*31,5054,"G: one dominant prime factor in lcm(a,b)",31,4,85;341;465;581,"5^1 mod 5: [0, 1]; 31^1 mod 31: [0, 23]",,False
35,1,139,556,139,139,4988,"F1: a=1, b=p=4d-1",139,2,417;521,"139^1 mod 139: [0, 104]",0;104,True
35,3,137,1644,411,3*137,4820,"F3: a=3, b=p=4d-3",137,4,513;685;1233;1609,"3^1 mod 3: [0, 1]; 137^1 mod 137: [0, 102]",0;102,True
23,9,83,2988,747,3^2*83,4708,"G: one dominant prime factor in lcm(a,b)",83,4,913;1305;2241;2965,"3^2 mod 9: [0, 4]; 83^1 mod 83: [0, 60]",,False
71,8,276,552,552,2^3*3*23,4127,"G: one dominant prime factor in lcm(a,b)",23,4,297;345;481;529,"2^3 mod 8: [0, 1]; 3^1 mod 3: [0, 1]; 23^1 mod 23: [0, 21]",0;21,True
59,6,230,1380,690,2*3*5*23,3989,"G: one dominant prime factor in lcm(a,b)",23,8,345;585;621;805;861;1045;1081;1321,"2^1 mod 2: [0, 1]; 3^1 mod 3: [0, 1]; 5^1 mod 5: [0, 1]; 23^1 mod 23: [0, 10]",,False
51,2,202,404,202,2*101,3966,"F2: a=2, b=2p, p=2d-1",101,2,101;353,"2^1 mod 2: [0, 1]; 101^1 mod 101: [0, 50]",0;50,True
55,8,212,424,424,2^3*53,3920,"G: one dominant prime factor in lcm(a,b)",53,2,265;369,"2^3 mod 8: [0, 1]; 53^1 mod 53: [0, 51]",0;51,True
39,4,152,152,152,2^3*19,3819,"G: one dominant prime factor in lcm(a,b)",19,2,57;113,"2^3 mod 8: [0, 1]; 19^1 mod 19: [0, 18]",0;18,True
55,2,218,436,218,2*109,3659,"F2: a=2, b=2p, p=2d-1",109,2,109;381,"2^1 mod 2: [0, 1]; 109^1 mod 109: [0, 54]",0;54,True
11,17,27,1836,459,3^3*17,3576,"G: one dominant prime factor in lcm(a,b)",17,4,1377;1485;1717;1825,"3^3 mod 27: [0, 16]; 17^1 mod 17: [0, 6]",,False
