prime_set,prime_set_size,rule_count,support_count,status,modulus,target_residues,covered_residues,coverage_ratio,uncovered_examples,rules
17;19;23,3,7,86840,checked,178296,7429,2869,0.386189,1;25;49;73;97;121;145;169;193;313;337;409;433;457;553;577;601;625;649;745,"d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152"
17;19;31,3,7,75217,checked,240312,10013,3533,0.352841,1;25;49;73;97;121;145;169;193;241;313;337;409;457;481;505;529;553;577;601,"d=11,a=6,b=38 | d=23,a=24,b=68 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372"
17;19;29,3,5,70909,checked,224808,9367,3127,0.333832,1;25;49;73;97;121;169;193;241;313;337;409;457;481;505;529;553;577;601;625,"d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=31,a=8,b=116 | d=39,a=4,b=152"
3;19;23,3,8,71093,checked,94392,3933,1273,0.323671,1;25;49;73;97;121;145;169;193;289;313;337;385;409;433;457;553;577;601;625,"d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=47,a=36,b=152 | d=23,a=38,b=54"
5;19;23,3,7,74985,checked,52440,2185,697,0.318993,1;25;49;73;97;121;145;169;193;289;313;337;385;409;433;457;553;577;601;625,"d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=39,a=4,b=152"
3;5;23;29,4,10,96291,checked,240120,10005,3063,0.306147,1;25;49;73;97;121;169;193;265;289;313;337;361;385;409;457;553;577;601;625,"d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=47,a=72,b=116 | d=39,a=40,b=116"
5;17;23,3,7,75364,checked,46920,1955,596,0.304859,1;25;49;73;97;121;145;169;193;217;265;313;337;361;409;433;457;553;577;601,"d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=39,a=20,b=136 | d=71,a=8,b=276 | d=59,a=6,b=230"
19;23,2,6,69008,checked,10488,437,133,0.304348,1;25;49;73;97;121;145;169;193;289;313;337;385;409;433;457;553;577;601;625,"d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152"
5;23;29,3,9,95281,checked,80040,3335,990,0.296852,1;25;49;73;97;121;169;193;265;289;313;337;361;385;409;457;553;577;601;625,"d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=39,a=40,b=116"
3;19;31,3,9,60199,checked,127224,5301,1569,0.295982,1;25;49;73;97;121;145;169;193;241;289;313;337;385;409;457;481;505;529;553,"d=11,a=6,b=38 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=47,a=36,b=152 | d=23,a=38,b=54 | d=71,a=36,b=248"
