group_type,prime_set,rule_count,support_count,rules
exact_signature,43,3,57697,"d=11,a=1,b=43 | d=23,a=6,b=86 | d=87,a=4,b=344"
exact_signature,41,2,46650,"d=11,a=3,b=41 | d=47,a=24,b=164"
exact_signature,37,2,45562,"d=19,a=2,b=74 | d=39,a=8,b=148"
exact_signature,23,4,43568,"d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276"
exact_signature,31,4,31945,"d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372"
exact_signature,29,2,27637,"d=15,a=2,b=58 | d=31,a=8,b=116"
exact_signature,59,2,26983,"d=15,a=1,b=59 | d=119,a=4,b=472"
exact_signature,19,2,25440,"d=11,a=6,b=38 | d=39,a=4,b=152"
exact_signature,53,2,24333,"d=27,a=2,b=106 | d=55,a=8,b=212"
exact_signature,61,2,21781,"d=31,a=2,b=122 | d=63,a=8,b=244"
exact_signature,5;29,2,18099,"d=11,a=15,b=29 | d=39,a=40,b=116"
exact_signature,17,1,17832,"d=23,a=24,b=68"
exact_signature,89,2,16049,"d=23,a=3,b=89 | d=95,a=24,b=356"
exact_signature,7;31,1,15360,"d=19,a=14,b=62"
exact_signature,67,1,13954,"d=35,a=6,b=134"
exact_signature,11;17,1,13361,"d=7,a=11,b=17"
exact_signature,5;71,1,11771,"d=19,a=5,b=71"
exact_signature,47,4,11088,"d=47,a=47,b=141 | d=71,a=2,b=282 | d=95,a=4,b=376 | d=143,a=8,b=564"
exact_signature,107,1,11080,"d=27,a=1,b=107"
exact_signature,5;31,2,8157,"d=39,a=1,b=155 | d=59,a=50,b=186"
exact_signature,139,2,8016,"d=35,a=1,b=139 | d=71,a=6,b=278"
exact_signature,5;17,1,7987,"d=39,a=20,b=136"
exact_signature,137,1,7223,"d=35,a=3,b=137"
exact_signature,3;37,1,7048,"d=23,a=18,b=74"
exact_signature,3;83,1,6460,"d=23,a=9,b=83"
exact_signature,2;23,3,6132,"d=31,a=32,b=92 | d=95,a=12,b=368 | d=39,a=64,b=92"
exact_signature,5;23,1,5977,"d=59,a=6,b=230"
exact_signature,101,1,5941,"d=51,a=2,b=202"
exact_signature,109,1,5480,"d=55,a=2,b=218"
exact_signature,3;17,1,4915,"d=11,a=17,b=27"
exact_signature,2;43,1,4685,"d=47,a=16,b=172"
exact_signature,13;53,1,4415,"d=23,a=39,b=53"
exact_signature,7;47,1,4110,"d=27,a=14,b=94"
exact_signature,5;73,1,3962,"d=39,a=10,b=146"
exact_signature,2;19,1,3805,"d=23,a=16,b=76"
exact_signature,3;19,2,2085,"d=47,a=36,b=152 | d=23,a=38,b=54"
exact_signature,5;37,2,1562,"d=79,a=20,b=296 | d=31,a=50,b=74"
exact_signature,2;59,2,1534,"d=63,a=16,b=236 | d=71,a=48,b=236"
exact_signature,3;61,1,1530,"d=35,a=18,b=122"
exact_signature,23;37,1,1520,"d=15,a=23,b=37"
exact_signature,3;131,1,1433,"d=35,a=9,b=131"
