class_id,modulus,residue,d,a,b,rule_modulus,covered_subclasses
1,120120,1,39,20,136,680,38
1,120120,1,35,38,102,3876,2
2,120120,289,23,24,68,408,38
2,120120,289,11,6,38,228,30
2,120120,289,11,10,34,340,17
3,120120,361,39,4,152,152,152
3,120120,361,11,6,38,228,76
3,120120,361,119,20,456,2280,76
3,120120,361,23,16,76,304,38
4,120120,529,11,10,34,340,184
4,120120,529,47,4,184,184,120
4,120120,529,23,24,68,408,84
4,120120,529,31,56,68,952,84
4,120120,529,95,68,312,5304,84
4,120120,529,35,2,138,276,48
4,120120,529,71,8,276,552,48
4,120120,529,95,104,276,7176,48
4,120120,529,71,12,272,816,36
4,120120,529,87,161,187,120428,4
5,120120,841,15,2,58,116,292
5,120120,841,31,8,116,232,146
5,120120,841,39,40,116,1160,146
5,120120,841,95,3,377,4524,146
5,120120,841,39,10,146,1460,96
5,120120,841,119,12,464,1392,71
5,120120,841,43,26,146,3796,47
6,120120,961,139,5,551,11020,8
6,120120,961,135,76,464,8816,3
7,120120,1201,119,36,440,3960,1517
7,120120,1201,39,8,148,296,164
8,120120,1369,35,26,114,2964,106
8,120120,1369,71,19,265,20140,2
9,120120,1681,39,1,155,620,94
9,120120,1681,95,4,376,376,58
9,120120,1681,71,2,282,564,29
9,120120,1681,27,14,94,1316,29
9,120120,1681,119,6,470,2820,29
10,120120,1849,23,24,68,408,222
10,120120,1849,39,8,148,296,90
10,120120,1849,95,74,306,22644,1
11,120120,2209,71,2,282,564,38
11,120120,2209,95,4,376,376,19
12,120120,2521,39,4,152,152,380
12,120120,2521,11,6,38,228,190
12,120120,2521,119,20,456,2280,190
13,120120,2641,11,18,26,468,722
13,120120,2641,39,4,152,152,152
13,120120,2641,11,6,38,228,76
13,120120,2641,119,20,456,2280,76
13,120120,2641,47,76,112,2128,38
14,120120,2809,11,10,34,340,116
14,120120,2809,31,8,116,232,60
14,120120,2809,23,24,68,408,54
14,120120,2809,7,11,17,748,54
14,120120,2809,95,6,374,2244,54
14,120120,2809,71,12,272,816,27
14,120120,2809,15,2,58,116,23
14,120120,2809,11,15,29,1740,23
14,120120,2809,47,14,174,2436,23
14,120120,2809,95,116,264,7656,23
14,120120,2809,119,12,464,1392,11
14,120120,2809,71,29,255,29580,1
15,120120,3361,19,26,50,1300,722
15,120120,3361,39,4,152,152,304
15,120120,3361,11,6,38,228,152
15,120120,3361,119,20,456,2280,152
15,120120,3361,71,132,152,5016,152
15,120120,3361,23,16,76,304,76
16,120120,3481,23,24,68,408,228
16,120120,3481,11,6,38,228,180
16,120120,3481,47,76,112,2128,45
16,120120,3481,47,36,152,1368,15
17,120120,3721,39,4,152,152,118
17,120120,3721,15,1,59,236,34
17,120120,3721,119,4,472,472,17
18,120120,4369,31,44,80,880,289
18,120120,4369,23,24,68,408,34
18,120120,4369,11,10,34,340,17
19,120120,4489,47,4,184,184,348
19,120120,4489,31,8,116,232,252
19,120120,4489,35,2,138,276,162
19,120120,4489,71,8,276,552,162
19,120120,4489,15,2,58,116,114
19,120120,4489,11,15,29,1740,114
19,120120,4489,47,14,174,2436,114
19,120120,4489,95,12,368,1104,72
20,120120,5041,47,4,184,184,124
20,120120,5041,35,2,138,276,62
20,120120,5041,71,8,276,552,62
20,120120,5041,119,16,460,1840,31
20,120120,5041,27,46,62,2852,2
21,120120,5329,11,10,34,340,172
21,120120,5329,47,16,172,688,30
21,120120,5329,47,86,102,8772,2
22,120120,5569,19,2,74,148,158
22,120120,5569,39,8,148,296,79
22,120120,5569,119,2,474,948,68
22,120120,5569,95,158,222,35076,1
23,120120,5881,15,16,44,176,986
23,120120,5881,39,20,136,680,116
23,120120,5881,31,8,116,232,60
23,120120,5881,15,2,58,116,30
23,120120,5881,39,40,116,1160,30
24,120120,6241,47,4,184,184,106
24,120120,6241,27,2,106,212,42
24,120120,6241,19,23,53,4876,1
25,120120,6889,23,16,76,304,214
25,120120,6889,63,76,176,3344,214
25,120120,6889,27,1,107,428,68
25,120120,6889,63,38,214,8132,1
26,120120,7561,23,24,68,408,76
26,120120,7561,39,4,152,152,60
26,120120,7561,95,6,374,2244,34
27,120120,7921,39,4,152,152,456
27,120120,7921,11,6,38,228,228
27,120120,7921,119,20,456,2280,228
27,120120,7921,35,26,114,2964,228
27,120120,7921,23,16,76,304,114
27,120120,7921,47,36,152,1368,76
28,120120,8089,7,11,17,748,348
28,120120,8089,31,8,116,232,180
28,120120,8089,15,2,58,116,90
28,120120,8089,11,15,29,1740,90
28,120120,8089,95,116,264,7656,90
28,120120,8089,311,84,1160,24360,90
28,120120,8089,71,12,272,816,69
28,120120,8089,311,20,1224,6120,46
29,120120,8761,23,24,68,408,152
29,120120,8761,11,6,38,228,120
29,120120,8761,39,20,136,680,68
29,120120,8761,31,56,68,952,68
30,120120,9409,11,10,34,340,38
30,120120,9409,11,6,38,228,30
31,120120,9601,23,24,68,408,38
31,120120,9601,11,6,38,228,30
32,120120,10201,39,4,152,152,76
32,120120,10201,11,6,38,228,38
32,120120,10201,119,20,456,2280,38
32,120120,10201,47,76,112,2128,19
33,120120,10441,31,56,68,952,380
33,120120,10441,119,20,456,2280,300
33,120120,10441,119,176,300,13200,255
34,120120,10609,27,1,107,428,76
34,120120,10609,119,48,428,5136,19
34,120120,10609,63,38,214,8132,4
35,120120,10921,39,4,152,152,228
35,120120,10921,11,6,38,228,114
35,120120,10921,119,20,456,2280,114
35,120120,10921,23,16,76,304,57
35,120120,10921,47,36,152,1368,38
36,120120,11281,15,2,58,116,82
36,120120,11281,31,8,116,232,41
36,120120,11281,39,40,116,1160,41
36,120120,11281,35,58,82,4756,2
37,120120,11449,47,4,184,184,62
37,120120,11449,47,2,186,372,42
37,120120,11449,35,2,138,276,29
37,120120,11449,71,8,276,552,29
37,120120,11449,95,104,276,7176,29
37,120120,11449,95,8,372,744,18
37,120120,11449,27,46,62,2852,1
38,120120,11881,23,24,68,408,146
38,120120,11881,59,17,219,14892,2
39,120120,12601,47,2,186,372,318
39,120120,12601,27,2,106,212,174
39,120120,12601,39,1,155,620,153
39,120120,12601,95,8,372,744,153
39,120120,12601,35,62,78,4836,153
39,120120,12601,27,31,77,9548,153
39,120120,12601,55,8,212,424,75
39,120120,12601,71,36,248,2232,50
39,120120,12601,71,72,212,3816,24
40,120120,12721,19,26,50,1300,874
40,120120,12721,119,20,456,2280,368
40,120120,12721,71,8,276,552,272
40,120120,12721,39,46,110,5060,136
40,120120,12721,47,76,112,2128,80
41,120120,12769,11,10,34,340,380
41,120120,12769,23,24,68,408,190
41,120120,12769,71,12,272,816,95
41,120120,12769,35,38,102,3876,20
41,120120,12769,111,19,425,32300,4
42,120120,13561,11,18,26,468,1426
42,120120,13561,119,16,460,1840,124
42,120120,13561,27,46,62,2852,8
43,120120,13729,11,10,34,340,230
43,120120,13729,71,8,276,552,150
44,120120,14401,119,36,440,3960,578
44,120120,14401,23,24,68,408,136
44,120120,14401,39,20,136,680,68
44,120120,14401,71,12,272,816,34
45,120120,14569,39,4,152,152,76
45,120120,14569,11,6,38,228,38
45,120120,14569,23,16,76,304,19
46,120120,15121,15,16,44,176,1653
46,120120,15121,11,18,26,468,551
46,120120,15121,39,4,152,152,116
46,120120,15121,15,2,58,116,68
47,120120,15409,39,4,152,152,76
47,120120,15409,11,6,38,228,38
47,120120,15409,35,26,114,2964,38
47,120120,15409,47,76,112,2128,19
48,120120,15649,15,16,44,176,1887
48,120120,15649,31,56,68,952,222
48,120120,15649,39,8,148,296,90
48,120120,15649,95,74,306,22644,1
49,120120,16129,39,4,152,152,228
49,120120,16129,11,6,38,228,114
49,120120,16129,23,16,76,304,57
49,120120,16129,47,36,152,1368,38
50,120120,16249,47,14,174,2436,318
50,120120,16249,27,2,106,212,162
50,120120,16249,119,212,264,13992,81
50,120120,16249,71,72,212,3816,27
51,120120,16921,23,24,68,408,172
51,120120,16921,39,20,136,680,86
51,120120,16921,11,1,43,172,56
51,120120,16921,23,6,86,516,28
51,120120,16921,47,16,172,688,14
51,120120,16921,47,86,102,8772,1
52,120120,17161,11,6,38,228,138
52,120120,17161,47,4,184,184,102
52,120120,17161,47,36,152,1368,21
53,120120,17761,15,16,44,176,1083
53,120120,17761,39,4,152,152,114
53,120120,17761,11,6,38,228,57
53,120120,17761,15,22,38,836,57
53,120120,17761,119,20,456,2280,57
53,120120,17761,47,36,152,1368,19
54,120120,18001,11,6,38,228,222
54,120120,18001,119,20,456,2280,111
54,120120,18001,19,2,74,148,96
54,120120,18001,39,8,148,296,48
54,120120,18001,47,36,152,1368,34
54,120120,18001,119,180,296,13320,15
54,120120,18001,47,74,114,8436,2
55,120120,18481,39,4,152,152,228
55,120120,18481,11,6,38,228,114
55,120120,18481,119,20,456,2280,114
55,120120,18481,23,16,76,304,57
56,120120,18769,119,4,472,472,122
57,120120,18841,47,4,184,184,388
57,120120,18841,35,2,138,276,194
57,120120,18841,71,8,276,552,194
57,120120,18841,95,12,368,1104,97
57,120120,18841,263,276,776,53544,4
58,120120,19009,31,56,68,952,164
58,120120,19009,71,12,272,816,41
58,120120,19009,35,17,123,8364,4
59,120120,19321,39,4,152,152,228
59,120120,19321,11,6,38,228,114
59,120120,19321,119,20,456,2280,114
60,120120,19681,119,36,440,3960,646
60,120120,19681,39,20,136,680,152
60,120120,19681,39,4,152,152,120
61,120120,20329,15,2,58,116,204
61,120120,20329,71,12,272,816,162
61,120120,20329,31,8,116,232,96
61,120120,20329,11,15,29,1740,96
61,120120,20329,119,12,464,1392,45
61,120120,20329,47,72,116,2088,32
61,120120,20329,71,29,255,29580,6
62,120120,20521,19,26,50,1300,646
62,120120,20521,23,24,68,408,304
62,120120,20521,71,132,152,5016,240
62,120120,20521,39,20,136,680,136
62,120120,20521,31,56,68,952,136
62,120120,20521,35,38,102,3876,8
63,120120,21121,39,4,152,152,372
63,120120,21121,47,2,186,372,204
63,120120,21121,119,20,456,2280,174
63,120120,21121,39,1,155,620,96
63,120120,21121,95,8,372,744,96
63,120120,21121,19,14,62,868,96
63,120120,21121,71,36,248,2232,32
64,120120,21169,47,32,156,1248,493
64,120120,21169,47,52,136,1768,174
64,120120,21169,11,10,34,340,87
64,120120,21169,23,24,68,408,87
64,120120,21169,39,68,88,1496,87
64,120120,21169,55,17,203,13804,6
