class_id,modulus,residue,d,a,b,rule_modulus,covered_subclasses
1,120120,841,15,2,58,116,292
1,120120,841,31,8,116,232,146
1,120120,841,39,40,116,1160,146
1,120120,841,95,3,377,4524,146
1,120120,841,39,10,146,1460,96
1,120120,841,119,12,464,1392,71
1,120120,841,43,26,146,3796,47
4,508588080,241081,23,24,68,408,74
4,508588080,241081,39,20,136,680,37
4,508588080,241081,71,12,272,816,37
4,508588080,241081,95,68,312,5304,37
4,508588080,241081,19,2,74,148,24
4256,319901902320,10172002681,23,18,74,1332,1
4268,319901902320,16275059641,119,32,444,3552,1
4293,319901902320,28989761641,23,18,74,1332,1
4305,319901902320,35092818601,119,32,444,3552,1
4313,319901902320,39161523241,167,56,612,8568,1
4330,319901902320,47807520601,23,18,74,1332,1
4342,319901902320,53910577561,119,32,444,3552,1
4404,319901902320,85443038521,23,18,74,1332,1
4416,319901902320,91546095481,119,32,444,3552,1
4432,319901902320,99683504761,167,56,612,8568,1
4441,319901902320,104260797481,23,18,74,1332,1
4478,319901902320,123078556441,23,18,74,1332,1
4490,319901902320,129181613401,119,32,444,3552,1
4534,319901902320,151559488921,167,56,612,8568,1
4552,319901902320,160714074361,23,18,74,1332,1
4601,319901902320,185634890281,119,32,444,3552,1
4626,319901902320,198349592281,23,18,74,1332,1
4638,319901902320,204452649241,119,32,444,3552,1
4675,319901902320,223270408201,119,32,444,3552,1
4712,319901902320,242088167161,119,32,444,3552,1
4737,319901902320,254802869161,23,18,74,1332,1
4749,319901902320,260905926121,119,32,444,3552,1
4772,319901902320,272603451961,167,56,612,8568,1
4774,319901902320,273620628121,23,18,74,1332,1
4786,319901902320,279723685081,119,32,444,3552,1
4811,319901902320,292438387081,23,18,74,1332,1
4823,319901902320,298541444041,119,32,444,3552,1
4848,319901902320,311256146041,23,18,74,1332,1
5,508588080,361201,23,24,68,408,118
5,508588080,361201,39,20,136,680,59
5,508588080,361201,95,68,312,5304,59
5,508588080,361201,15,1,59,236,26
5,508588080,361201,119,4,472,472,13
5,508588080,361201,95,26,354,9204,13
5,508588080,361201,19,17,59,4012,1
6,508588080,481321,23,24,68,408,46
6,508588080,481321,59,6,230,1380,30
6,508588080,481321,39,20,136,680,21
6,508588080,481321,71,12,272,816,21
6,508588080,481321,95,68,312,5304,21
6,508588080,481321,47,4,184,184,12
6,508588080,481321,35,2,138,276,12
6,508588080,481321,71,8,276,552,12
6,508588080,481321,119,16,460,1840,12
6,508588080,481321,39,46,110,5060,12
6,508588080,481321,95,104,276,7176,12
6,508588080,481321,63,68,184,3128,1
5947,198857939280,3560597881,79,116,200,5800,1
5952,198857939280,6103538281,279,28,1088,7616,1
5954,198857939280,7120714441,79,116,200,5800,1
5955,198857939280,7629302521,79,116,200,5800,1
5959,198857939280,9663654841,79,116,200,5800,1
5964,198857939280,12206595241,79,116,200,5800,1
5975,198857939280,17801064121,79,116,200,5800,1
