focus_r,base_modulus,base_residue,sample_n,d,a,b,x,y,z,verified,rule_modulus,rule_prime_factors,sample_satisfies_visible_conditions,source,why_not_closed_earlier
289,38798760,4564849,4564849,111,32,412,1141240,651198534095,50578526920,True,3296,2;103,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,38798760,24985249,24985249,19,2,74,6246317,312131571155866,8435988409618,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,2056454689,2056454689,131,6,518,514113705,704834359550941830,8164104550783110,True,3108,2;3;7;37,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,8574646369,8574646369,11,15,29,2143661595,4901637363181732948,2535329670611241180,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,15442026889,15442026889,59,18,218,3860506737,13247566408426589154,1093835758493938554,True,3924,2;3;109,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,22387004929,22387004929,63,88,164,5596751248,5695204444334677336,3055963360374704912,True,3608,2;11;41,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,29137989169,29137989169,47,2,186,7284497304,424511207091123400752,4564636635388423664,True,372,2;3;31,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,35850174649,35850174649,31,8,116,8962543670,160654377934394710915,11079612271337566270,True,232,2;29,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,42445963849,42445963849,231,1,923,10611491020,1801659856875632543920,1951960841685409040,True,3692,2;13;71,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,49274545609,49274545609,47,14,174,12318636414,173427203377808916036,13953912915455889796,True,2436,2;3;7;29,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,56258322409,56258322409,131,70,454,14064580635,45214269252069025698,6971363100539277090,True,31780,2;5;7;227,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,62970507889,62970507889,51,19,185,15742626985,208699203526847744140,21433972254108687236,True,14060,2;5;19;37,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,69605095849,69605095849,31,8,116,17401273970,605608671288279375265,41766115261260646570,True,232,2;29,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,76239683809,76239683809,19,14,62,19059920957,415177813481775052918,93749828850723399046,True,868,2;7;31,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,83029466809,83029466809,19,2,74,20757366707,3446946180082196255926,93160707569789087998,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,89819249809,89819249809,11,1,43,22454812455,8067497637239558284380,187616224121850192660,True,172,2;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,96647831569,96647831569,87,4,344,24161957914,2335200838849538587066,27153498126157425431,True,344,2;43,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,103398815809,103398815809,23,6,86,25849703958,1781885852180280181348,124317617593973035908,True,516,2;3;43,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,130286236080,110188598809,110188598809,15,2,58,27547149706,6070763654571792600308,209336677743854917252,True,116,2;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,116939583049,116939583049,15,2,58,29234895766,6837433042714030941068,235773553197035549692,True,116,2;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,130286236080,123651768529,123651768529,51,5,199,30912942145,3057951973331127003764,76832964154048417180,True,3980,2;5;199,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,260572472160,134205031249,134205031249,31,2,122,33551257820,9005495208352711234360,147631068989388708760,True,244,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,521144944320,45937852249,45937852249,51,38,166,11484463075,55533849252468021650,12712567901167378450,True,6308,2;19;83,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,521144944320,479785586569,479785586569,831,49,3275,119946396850,4697841009756351339400,70288308237575943704,True,641900,2;5;7;131,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,390858708240,385776191089,385776191089,31,8,116,96444047780,18602908702886963116210,1282959220888756076980,True,232,2;29,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,8109421609,8109421609,19,2,74,2027355407,32881359493297579726,888685391710745398,True,148,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,17770312849,17770312849,135,4,536,4442578246,78946005287581682854,589149293190908081,True,536,2;67,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,110654063520,27237210289,27237210289,75,13,287,6809302591,57066586643846018092,2584897652857136708,True,14924,2;7;13;41,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,37324887889,37324887889,11,15,29,9331221975,92876483755799509540,48039560563344573900,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,110654063520,47334967969,47334967969,127,26,482,11833742024,86176892255299881424,4648546055265138832,True,12532,2;13;241,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,56879462929,56879462929,63,11,241,14219865748,294115755152262856688,13424370567115732048,True,10604,2;11;241,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,66695549209,66695549209,71,2,282,16673887320,2224148144512762259760,15774100315693349360,True,564,2;3;47,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,76084849129,76084849129,59,102,134,19021212297,56753963445800962326,43200778145311180278,True,13668,2;3;17;67,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,85745740369,85745740369,59,74,162,21436435107,99355837790364255918,45384765410413302086,True,11988,2;3;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,95949814249,95949814249,39,8,148,23987453572,1150795857269955773714,62205181474051663444,True,296,2;37,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,110654063520,105765900529,105765900529,63,88,164,26441475148,127118474106517888786,68209912935204720812,True,3608,2;11;41,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,995886571680,792542751289,792542751289,31,2,122,198135687830,314062006322653268225740,5148557480699233905340,True,244,2;61,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,442616254080,266043578089,266043578089,23,18,74,66510894528,3932176969362046843776,956475479034011394432,True,1332,2;3;37,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,331962190560,298246548889,298246548889,63,88,164,74561637238,1010806862988502269481,542384170384074388502,True,3608,2;11;41,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,331962190560,106231485649,106231485649,159,4,632,26557871452,2821282140021124792348,17856216076083068306,True,632,2;79,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,5936811169,5936811169,75,1,299,1484202811,35245727301623984236,117878686627504964,True,1196,2;13;23,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116124688680,12726594169,12726594169,119,152,324,3181648572,1065567109584799386,499895681039782428,True,12312,2;3;19,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,19710370969,19710370969,119,108,368,4927592772,3597210426677149484,1055703060003076479,True,9936,2;3;23,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,26538952729,26538952729,11,15,29,6634738185,46954400816268335164,24286759042897414740,True,1740,2;3;5;29,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116124688680,33445132009,33445132009,191,54,710,8361283050,20714386323841788700,1575460368292192380,True,38340,2;3;5;71,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,40196116249,40196116249,51,2,202,10049029075,807863881776561879350,7998652294817444350,True,404,2;101,False,recursive_failure_diagnostics,sample_rule_residue_is_visibly_excluded
289,116124688680,47024698009,47024698009,23,39,53,11756174508,56700569844082477392,41723060828664464496,True,8268,2;3;13;53,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,53659285969,53659285969,95,18,362,13414821516,159962165322252913112,7953919822653459768,True,6516,2;3;181,False,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
289,116124688680,60875855329,60875855329,27,34,74,15218963839,108996169520028993886,50079321130824132326,True,2516,2;17;37,True,recursive_failure_diagnostics,shares_prime_factors_with_visible_exclusions_but_not_same_q
