feature,remaining_count,covered_count,enrichment_ratio
is_integer_square=True,218,2,8.595958501408687
focus=289,59011,2623,1.7741996772608857
r_mod_11=3,59011,2623,1.7741996772608857
r_mod_13=3,59011,2623,1.7741996772608857
r_mod_840=289,59011,2623,1.7741996772608857
r_mod_7=2,116864,5486,1.679936074659809
r_mod_19=4,18213,870,1.6509352756106337
r_mod_17=13,19795,976,1.599460431412477
focus=961,57853,2863,1.5935744156927736
r_mod_11=4,57853,2863,1.5935744156927736
r_mod_13=12,57853,2863,1.5935744156927736
r_mod_840=121,57853,2863,1.5935744156927736
r_mod_17=8,23457,1176,1.5730153417551611
r_mod_17=12,19545,994,1.5506618510146455
r_mod_17=1,22171,1145,1.5270301344876567
r_mod_17=9,21427,1115,1.5154943251712176
r_mod_17=14,14602,773,1.4897063275166411
r_mod_29=23,11963,648,1.4559045694919035
r_mod_17=2,25144,1414,1.4023382204132984
r_mod_23=12,14514,829,1.3807034195000685
r_mod_120=49,120173,6980,1.3577483780523465
r_mod_5=4,120173,6980,1.3577483780523465
r_mod_60=49,120173,6980,1.3577483780523465
r_mod_29=21,5811,339,1.3518203797376491
r_mod_31=28,9749,569,1.3511874918210491
r_mod_19=5,19654,1153,1.3442791313182711
r_mod_31=1,9556,576,1.3083425624277112
r_mod_19=2,13449,813,1.3045696185319458
r_mod_31=20,9702,590,1.2968121502202936
r_mod_29=19,6122,373,1.2943517216131042
r_mod_31=11,9709,593,1.2911824665466674
r_mod_31=16,9652,590,1.2901289294914733
r_mod_31=19,9681,592,1.289633558333398
r_mod_19=7,20161,1237,1.2853167944561088
r_mod_19=1,20743,1275,1.2830074991525124
r_mod_23=9,12835,791,1.2796382162351743
r_qr_mod_17=True,181165,11221,1.2732408041505605
r_mod_31=2,9622,596,1.2731714903724274
r_mod_31=10,9714,603,1.2704237357963086
r_mod_29=26,9029,561,1.2692424947132255
r_mod_31=25,9801,610,1.2670926345661986
r_mod_31=18,9588,597,1.266547571366104
r_mod_23=6,12913,805,1.265024925963763
r_mod_23=7,12460,780,1.2597699709192218
r_mod_31=5,9719,609,1.2585547170905986
r_mod_23=2,12731,800,1.2549902257045182
r_mod_31=9,9805,619,1.2491792489560283
r_qr_mod_31=True,152722,9649,1.2482084222751963
r_mod_31=14,9632,610,1.2452439808327338
r_mod_31=22,9707,616,1.2427166861249572
r_mod_31=3,9736,620,1.2383878657844771
r_mod_23=8,13631,870,1.2355953847168808
r_mod_29=22,10145,650,1.2308539025658594
r_mod_19=11,25059,1620,1.2198783785638254
r_mod_23=5,16982,1102,1.2152763721583968
r_mod_29=24,12497,813,1.2122244421736728
r_qr_mod_19=True,177079,11575,1.2064626274365022
r_mod_31=13,9877,646,1.205758544017008
r_mod_31=7,9614,630,1.203459225754232
r_mod_31=8,9687,636,1.2011576078002706
r_mod_31=4,9561,628,1.2006363471040797
r_mod_19=9,15824,1040,1.1999157315304434
r_mod_29=13,10768,709,1.1977236467329453
r_mod_23=4,11394,752,1.1948852133155692
r_mod_17=15,22489,1485,1.1942946945799275
r_mod_19=6,17364,1147,1.1938621167182073
r_mod_47=14,6191,412,1.1850356079589648
r_mod_23=16,12234,827,1.1666236569254838
r_mod_37=11,7909,536,1.163655959667967
r_mod_37=6,8137,555,1.156216453028556
r_mod_17=16,16992,1167,1.1482632237913917
r_mod_23=13,13410,923,1.145763252098666
r_mod_37=29,7957,550,1.1409181283687893
r_mod_47=27,6158,427,1.137312000766489
r_mod_37=25,7888,547,1.1372275910154088
r_mod_29=25,12683,880,1.1365986412986486
r_mod_37=19,7873,547,1.1350650131927376
r_mod_47=18,6170,429,1.1342157771153654
r_mod_41=39,7116,495,1.1337010600690245
r_mod_47=17,6234,434,1.132778195108057
r_mod_29=20,9764,680,1.1323656072282033
r_mod_41=34,7176,501,1.1295683533137164
r_mod_59=36,4918,344,1.127451565765093
r_mod_37=13,7858,550,1.1267229675407748
r_mod_47=33,6210,435,1.1258231001528618
r_qr_mod_23=True,159331,11164,1.125507170811116
r_mod_17=7,11761,825,1.124237619517015
r_mod_41=9,7125,500,1.1237835655511357
r_mod_47=22,5941,417,1.1235471686548524
r_mod_47=25,6160,433,1.1219167398071384
r_mod_41=33,7093,499,1.1209783539646598
r_mod_47=36,6188,437,1.1167004221173757
r_mod_37=10,7924,560,1.1158973650911277
r_mod_47=37,6198,439,1.113409349684041
r_mod_47=32,6202,440,1.1115958012038507
r_mod_47=2,6205,441,1.1096116520260646
r_mod_37=36,7877,560,1.1092785897050494
r_mod_41=16,7102,505,1.10906526073221
r_mod_43=15,6734,479,1.1086779519351497
r_mod_53=34,5509,392,1.1082928146475486
r_mod_59=13,4848,345,1.1081826037715548
focus=529,61162,4357,1.107036475866439
r_mod_11=1,61162,4357,1.107036475866439
r_mod_840=529,61162,4357,1.107036475866439
r_mod_37=4,7926,565,1.1063013247083746
r_mod_37=27,7976,570,1.1035146468249748
r_mod_47=4,6153,440,1.10281344160066
r_mod_47=3,6180,442,1.1026406978020193
r_mod_43=18,6864,491,1.1024619135945968
r_mod_59=1,4920,352,1.1022757461147505
r_mod_41=23,7097,508,1.101739461903082
r_mod_43=14,6742,483,1.1008025569642594
r_mod_47=42,6173,443,1.0989055403979502
r_mod_41=31,7134,512,1.0988311344081416
r_mod_43=19,6798,488,1.098573580474061
r_mod_37=7,7926,569,1.0985241624960134
r_mod_19=3,19817,1423,1.098249012761616
r_mod_47=5,6168,443,1.098015450052577
r_mod_47=30,6234,448,1.0973788765109305
r_mod_53=43,5468,393,1.0972453973364777
r_mod_37=2,7789,560,1.09688598898218
r_mod_53=9,5420,390,1.0959796536729027
r_mod_37=33,7833,564,1.0952590106957878
r_mod_29=3,10218,737,1.0933676567213222
r_mod_59=49,4880,352,1.0933141546829233
r_mod_37=14,8151,588,1.0932044209102885
r_mod_41=40,7138,515,1.0930426967677065
r_mod_31=23,8718,629,1.0930349063648566
r_mod_43=10,6752,488,1.0911398669256929
r_mod_37=34,7884,570,1.090786042573734
r_mod_47=39,6228,451,1.0890300768277081
r_mod_53=49,5439,394,1.0886559467508465
r_mod_41=3,7081,514,1.0864238415820318
r_qr_mod_29=True,169038,12273,1.086179054313393
r_mod_43=34,6899,501,1.0859660074569857
r_mod_53=8,5424,394,1.085653586169625
r_mod_59=23,4816,350,1.0851411832970965
r_mod_41=18,7099,516,1.0849638966200887
r_qr_mod_47=True,147352,10719,1.0841005785829783
r_mod_59=7,4893,356,1.0839095182814327
r_mod_41=2,7141,520,1.0829876439407098
r_mod_37=30,7904,576,1.0821619520122048
r_mod_41=32,7120,519,1.0818833771725769
r_mod_23=20,8958,653,1.0818466113438192
r_mod_59=27,4855,354,1.0815678879474209
r_mod_47=34,6144,448,1.0815360630868074
r_mod_47=10,6240,455,1.0815360630868072
r_mod_43=13,6763,494,1.0796431925310506
r_mod_47=21,6171,451,1.07906303855231
r_mod_43=28,6717,491,1.0788514967387683
r_qr_mod_37=True,148588,10865,1.0785041453765893
r_mod_59=17,4923,360,1.07843791290609
r_mod_47=8,6138,449,1.0780734615485283
r_mod_47=12,6169,452,1.0763267840218842
r_mod_47=16,6155,451,1.0762652734223737
r_mod_37=28,7856,576,1.0755901182955316
r_mod_53=25,5454,400,1.0752834327220866
r_mod_37=1,7908,580,1.0752426420300523
r_mod_47=13,6256,459,1.0748599145492346
r_mod_53=46,5424,398,1.0747424948513373
r_mod_29=1,12398,910,1.0744298165184485
r_mod_59=4,4891,359,1.0744124359303338
r_mod_41=26,7028,516,1.0741127293204653
r_mod_41=24,7012,515,1.0737483034092403
r_mod_43=16,6726,494,1.073736524170316
r_mod_47=1,6152,452,1.073360735176306
r_mod_37=12,7755,570,1.0729383257431895
r_mod_29=0,4635,341,1.0719219686843677
r_mod_41=8,7094,522,1.0717376640478264
r_mod_59=41,4862,358,1.0710253250435404
r_mod_43=5,6735,496,1.0708379052047112
r_mod_41=21,7086,522,1.0705290509505072
r_mod_53=35,5548,409,1.0697467029859222
r_mod_47=24,6129,452,1.0693478455617003
r_mod_53=11,5490,405,1.069018284578858
r_mod_37=21,7908,584,1.0678779663997093
r_mod_37=9,7819,578,1.0668200933702823
r_mod_41=4,7044,521,1.0662264115219988
r_mod_59=53,4892,362,1.0657263163082593
r_qr_mod_41=True,148442,10987,1.0654804484249596
r_mod_37=5,7858,582,1.0647725638271928
r_mod_37=20,7894,585,1.0641652381419302
r_mod_47=9,6163,457,1.063515392451403
r_mod_47=26,6175,458,1.0632595598373191
r_mod_41=1,7139,530,1.062256322339564
r_mod_41=11,6733,500,1.0619557539446731
r_mod_23=1,14782,1098,1.0616923060094519
r_mod_53=29,5479,407,1.0616337179455446
r_mod_31=29,7668,570,1.0609014934621248
r_mod_37=24,7909,588,1.0607476094932489
r_mod_41=14,6975,519,1.0598506398565626
r_mod_43=4,6740,502,1.0588245239134206
r_mod_19=16,21876,1630,1.0583958359701493
r_mod_47=31,6249,466,1.057529327780897
r_mod_41=5,7105,530,1.0571972503463516
r_mod_29=16,15039,1122,1.057046067005881
r_mod_41=28,7090,529,1.0569595701598584
r_mod_53=16,5434,406,1.0555077167409683
r_mod_37=26,7825,585,1.0548635658044847
r_mod_53=33,5455,408,1.054392733072144
r_mod_47=40,6217,465,1.0543765217176246
r_mod_19=17,15094,1129,1.0543340101271947
r_mod_59=20,4907,368,1.0515648276429106
r_mod_53=17,5393,405,1.0501303476746415
r_mod_43=11,6774,510,1.0474729787469408
r_mod_41=36,7131,537,1.0472345527060862
r_mod_53=14,5509,415,1.0468693574502146
r_mod_47=19,6143,463,1.046326769456349
r_mod_43=21,6753,509,1.0462772437413326
r_mod_41=37,7120,537,1.045619129893049
r_mod_29=6,10284,776,1.0451248135402313
r_mod_41=25,7129,538,1.0449948527768924
r_mod_43=41,6677,504,1.0447650887197064
r_mod_29=10,9813,741,1.0443628220520675
r_mod_53=12,5442,411,1.044202017113464
r_mod_53=7,5389,407,1.0441949454295565
r_mod_37=3,7863,594,1.043925828569742
r_mod_43=36,6747,510,1.0432979314445838
r_mod_53=31,5424,410,1.0432866169532493
r_mod_43=3,6785,513,1.043038403921132
r_mod_59=37,4905,371,1.042636475912105
r_mod_47=28,6158,466,1.0421292367538428
r_mod_23=3,15738,1192,1.041216634560448
r_mod_43=25,6714,509,1.0402347718761005
r_mod_53=4,5407,410,1.0400167289576363
r_mod_53=37,5459,414,1.0398736307049157
r_mod_53=47,5472,415,1.039838287160569
r_mod_53=20,5428,412,1.0389877693427978
r_mod_43=38,6745,512,1.0389144941944093
r_mod_43=24,6639,504,1.0388191439284307
r_mod_43=1,6782,515,1.0385283790247388
r_qr_mod_53=True,146363,11119,1.0380861209894294
r_qr_mod_43=True,147331,11193,1.0380432412877998
r_mod_59=5,4883,371,1.0379600228091352
r_mod_43=6,6733,512,1.037066165961595
r_mod_43=22,6785,516,1.0369742271541487
r_mod_43=7,6755,514,1.0364063055905415
r_mod_41=22,6858,522,1.036083577676909
r_mod_29=18,7830,596,1.0360562013735302
r_mod_59=3,4870,371,1.0351966641573804
r_mod_7=4,117545,8957,1.0349262398924157
r_mod_59=9,4853,370,1.0343711035788832
r_mod_37=22,7830,597,1.0343207638502914
r_mod_47=38,6164,470,1.0342668007550877
r_mod_59=22,4862,371,1.0334961357563004
r_mod_53=2,5451,416,1.0333576612380635
r_mod_59=50,4871,372,1.0326258720617962
r_mod_43=2,6741,515,1.0322500446779364
r_mod_59=6,4894,374,1.0319536109967649
r_mod_29=7,12184,932,1.0309599399649902
r_mod_59=45,4902,375,1.0308841241322417
r_mod_43=17,6732,515,1.03087187372376
r_mod_53=28,5503,421,1.0308256800813267
r_mod_37=16,7803,597,1.0307541405266698
r_mod_53=3,5432,416,1.029755790835656
r_mod_47=7,6172,473,1.0290407872974459
r_mod_59=25,4915,377,1.0281346223060788
r_mod_53=21,5429,417,1.0267189999372486
r_mod_53=42,5478,421,1.0261426631810844
r_mod_53=40,5435,418,1.0253947248838113
r_mod_59=29,4860,374,1.0247843378513029
r_qr_mod_59=True,146086,11248,1.0242385138697763
r_mod_43=23,6687,515,1.0239810189528793
r_mod_53=32,5401,416,1.0238790549159387
r_mod_53=13,5436,419,1.0231356969117738
r_mod_29=9,12673,977,1.022945940938393
r_mod_53=38,5394,416,1.0225520500308412
r_mod_43=9,6729,519,1.0224709613755998
r_mod_53=6,5417,418,1.0219987533938557
r_mod_53=52,5440,420,1.0214507262486512
r_mod_43=40,6722,519,1.0214073119879301
r_mod_53=10,5385,416,1.0208459008928588
r_mod_59=52,4854,375,1.0207897875434315
r_mod_47=6,6170,477,1.0200808561477814
r_mod_41=7,6995,541,1.019666769274598
r_mod_43=12,6552,507,1.0191397517548761
r_mod_43=8,6752,523,1.018119034531048
r_mod_43=31,6736,522,1.0176522279427909
r_mod_59=12,4839,375,1.0176353073594284
r_mod_59=30,4887,379,1.0168828930886267
r_mod_47=46,5462,424,1.0159062951076305
r_mod_41=29,7091,551,1.0149010428659984
r_mod_31=0,7639,594,1.0141866214478261
r_mod_41=20,7134,555,1.0136964699404838
r_mod_53=22,5409,421,1.0132175365364158
r_mod_59=15,4846,378,1.0110192441586938
r_mod_29=28,9389,733,1.0101437396864235
r_mod_53=36,5356,419,1.008078512262594
