residue,method,d,a,b
0,formula_even,,,
1,uncovered,,,
2,formula_even,,,
3,formula_divisible_by_3,,,
4,formula_even,,,
5,general_key_d_3,3,4,8
6,formula_even,,,
7,formula_3_mod_4,,,
8,formula_even,,,
9,formula_divisible_by_3,,,
10,formula_even,,,
11,formula_3_mod_4,,,
12,formula_even,,,
13,general_key_d_3,3,4,8
14,formula_even,,,
15,formula_divisible_by_3,,,
16,formula_even,,,
17,general_key_d_7,7,4,24
18,formula_even,,,
19,formula_3_mod_4,,,
20,formula_even,,,
21,formula_divisible_by_3,,,
22,formula_even,,,
23,formula_3_mod_4,,,
24,formula_even,,,
25,general_key_d_3,3,2,10
26,formula_even,,,
27,formula_divisible_by_3,,,
28,formula_even,,,
29,general_key_d_3,3,4,8
30,formula_even,,,
31,formula_3_mod_4,,,
32,formula_even,,,
33,formula_divisible_by_3,,,
34,formula_even,,,
35,formula_3_mod_4,,,
36,formula_even,,,
37,general_key_d_3,3,4,8
38,formula_even,,,
39,formula_divisible_by_3,,,
40,formula_even,,,
41,general_key_d_7,7,4,24
42,formula_even,,,
43,formula_3_mod_4,,,
44,formula_even,,,
45,formula_divisible_by_3,,,
46,formula_even,,,
47,formula_3_mod_4,,,
48,formula_even,,,
49,general_key_d_11,11,2,42
50,formula_even,,,
51,formula_divisible_by_3,,,
52,formula_even,,,
53,general_key_d_3,3,4,8
54,formula_even,,,
55,formula_3_mod_4,,,
56,formula_even,,,
57,formula_divisible_by_3,,,
58,formula_even,,,
59,formula_3_mod_4,,,
60,formula_even,,,
61,general_key_d_3,3,4,8
62,formula_even,,,
63,formula_divisible_by_3,,,
64,formula_even,,,
65,general_key_d_7,7,4,24
66,formula_even,,,
67,formula_3_mod_4,,,
68,formula_even,,,
69,formula_divisible_by_3,,,
70,formula_even,,,
71,formula_3_mod_4,,,
72,formula_even,,,
73,general_key_d_7,7,8,20
74,formula_even,,,
75,formula_divisible_by_3,,,
76,formula_even,,,
77,general_key_d_3,3,4,8
78,formula_even,,,
79,formula_3_mod_4,,,
80,formula_even,,,
81,formula_divisible_by_3,,,
82,formula_even,,,
83,formula_3_mod_4,,,
84,formula_even,,,
85,general_key_d_3,3,4,8
86,formula_even,,,
87,formula_divisible_by_3,,,
88,formula_even,,,
89,general_key_d_7,7,4,24
