focus_r,square_prime,missing_prime,count,rank
289,17,29,6517,1
289,17,41,5324,2
289,17,31,5302,3
289,17,23,4745,4
289,17,37,4707,5
289,17,43,4604,6
289,17,53,3385,7
289,17,2,3238,8
289,17,3,2756,9
289,17,59,2738,10
289,17,61,2542,11
289,17,47,1647,12
289,17,79,1630,13
289,17,67,1527,14
289,17,89,1510,15
289,17,101,1031,16
289,17,73,999,17
289,17,107,996,18
289,17,71,918,19
289,17,137,890,20
289,17,139,889,21
289,17,83,841,22
289,17,109,784,23
289,17,5,605,24
289,17,97,596,25
289,17,181,565,26
289,17,131,439,27
289,17,167,438,28
289,17,127,378,29
289,17,103,370,30
289,17,199,351,31
289,17,157,344,32
289,17,149,340,33
289,17,173,327,34
289,17,113,277,35
289,17,179,263,36
289,17,163,251,37
289,17,233,236,38
289,17,241,229,39
289,17,197,222,40
289,17,251,218,41
289,17,269,194,42
289,17,7,184,43
289,17,283,166,44
289,17,227,150,45
289,17,151,148,46
289,17,293,138,47
289,17,281,138,48
289,17,211,134,49
289,17,229,120,50
289,17,379,105,51
289,17,331,100,52
289,17,257,99,53
289,17,239,86,54
289,17,347,84,55
289,17,191,84,56
289,17,359,84,57
289,17,11,71,58
289,17,277,61,59
289,17,223,54,60
289,17,439,50,61
289,17,419,48,62
289,17,317,47,63
289,17,311,45,64
289,17,509,45,65
289,17,193,41,66
289,17,443,41,67
289,17,263,40,68
289,17,349,39,69
289,17,307,38,70
289,17,367,37,71
289,17,523,35,72
289,17,337,33,73
289,17,373,31,74
289,17,271,31,75
289,17,503,31,76
289,17,389,30,77
289,17,491,29,78
289,17,521,29,79
289,17,569,28,80
289,17,467,26,81
289,17,409,26,82
289,17,397,25,83
289,17,599,24,84
289,17,587,23,85
289,17,449,22,86
289,17,479,22,87
289,17,593,21,88
289,17,617,19,89
289,17,401,19,90
289,17,313,19,91
289,17,13,18,92
289,17,353,18,93
289,17,571,17,94
289,17,619,16,95
289,17,499,15,96
289,17,421,15,97
289,17,683,15,98
289,17,487,14,99
289,17,839,14,100
289,17,677,13,101
289,17,461,12,102
289,17,761,11,103
289,17,563,11,104
289,17,659,11,105
289,17,541,11,106
289,17,383,10,107
289,17,577,10,108
289,17,457,10,109
289,17,17,10,110
289,17,859,9,111
289,17,827,8,112
289,17,739,8,113
289,17,547,8,114
289,17,647,8,115
289,17,821,7,116
289,17,733,7,117
289,17,613,7,118
289,17,971,7,119
289,17,701,6,120
289,17,787,6,121
289,17,431,6,122
289,17,1301,6,123
289,17,601,6,124
289,17,557,6,125
289,17,433,6,126
289,17,1049,5,127
289,17,653,5,128
289,17,797,5,129
289,17,643,5,130
289,17,463,5,131
289,17,857,5,132
289,17,811,5,133
289,17,853,5,134
289,17,709,5,135
289,17,691,5,136
289,17,1193,5,137
289,17,607,4,138
289,17,769,4,139
289,17,1163,4,140
289,17,911,4,141
289,17,1097,4,142
289,17,829,4,143
289,17,919,4,144
289,17,719,4,145
289,17,809,4,146
289,17,1531,4,147
289,17,1237,3,148
289,17,929,3,149
289,17,907,3,150
289,17,1579,3,151
289,17,1187,3,152
289,17,997,3,153
289,17,773,3,154
289,17,977,3,155
289,17,757,3,156
289,17,1259,3,157
289,17,1451,3,158
289,17,631,3,159
289,17,887,3,160
289,17,823,3,161
289,17,1021,3,162
289,17,937,3,163
289,17,953,2,164
289,17,2081,2,165
289,17,967,2,166
289,17,1117,2,167
289,17,1627,2,168
289,17,1319,2,169
289,17,1453,2,170
289,17,1327,2,171
289,17,2203,2,172
289,17,1031,2,173
289,17,883,2,174
289,17,751,2,175
289,17,19,2,176
289,17,1733,2,177
289,17,1787,2,178
289,17,1229,2,179
289,17,727,2,180
289,17,1051,2,181
289,17,1433,2,182
289,17,1231,1,183
289,17,4637,1,184
289,17,4273,1,185
289,17,1307,1,186
289,17,1571,1,187
289,17,743,1,188
289,17,1601,1,189
289,17,1109,1,190
289,17,1559,1,191
289,17,1213,1,192
289,17,3217,1,193
289,17,1409,1,194
289,17,2999,1,195
289,17,1553,1,196
289,17,1979,1,197
289,17,2039,1,198
289,17,1061,1,199
289,17,1427,1,200
289,17,1999,1,201
289,17,2459,1,202
289,17,661,1,203
289,17,1549,1,204
289,17,6353,1,205
289,17,1019,1,206
289,17,1039,1,207
289,17,1063,1,208
289,17,947,1,209
289,17,2027,1,210
289,17,1069,1,211
289,17,1399,1,212
289,17,2141,1,213
289,17,1483,1,214
289,17,1951,1,215
289,17,983,1,216
289,17,2011,1,217
289,17,1297,1,218
289,17,1523,1,219
289,17,1087,1,220
289,17,1249,1,221
289,17,1033,1,222
289,17,5279,1,223
289,17,1907,1,224
289,17,1697,1,225
289,17,1373,1,226
289,17,881,1,227
289,17,1879,1,228
289,17,1009,1,229
289,17,2297,1,230
289,17,1223,1,231
289,17,3253,1,232
289,17,641,1,233
289,17,1093,1,234
289,17,1607,1,235
289,17,1277,1,236
289,17,1091,1,237
289,17,3671,1,238
289,17,1481,1,239
289,17,2179,1,240
289,17,2269,1,241
289,17,1291,1,242
361,19,23,6495,1
361,19,29,6403,2
361,19,43,5589,3
361,19,37,5548,4
361,19,17,4261,5
361,19,31,3870,6
361,19,41,3548,7
361,19,59,3067,8
361,19,3,2669,9
361,19,53,2223,10
361,19,61,2131,11
361,19,47,1839,12
361,19,71,1758,13
361,19,67,1644,14
361,19,89,1304,15
361,19,107,1154,16
361,19,73,1058,17
361,19,83,883,18
361,19,101,650,19
361,19,139,616,20
361,19,109,603,21
361,19,137,590,22
361,19,97,567,23
361,19,103,541,24
361,19,79,522,25
361,19,5,516,26
361,19,131,488,27
361,19,113,476,28
361,19,151,434,29
361,19,2,371,30
361,19,157,242,31
361,19,149,224,32
361,19,173,222,33
361,19,11,207,34
361,19,233,199,35
361,19,229,189,36
361,19,127,175,37
361,19,163,174,38
361,19,181,148,39
361,19,179,135,40
361,19,167,131,41
361,19,251,117,42
361,19,283,113,43
361,19,211,105,44
361,19,191,105,45
361,19,223,99,46
361,19,197,99,47
361,19,281,99,48
361,19,227,87,49
361,19,193,81,50
361,19,311,68,51
361,19,331,68,52
361,19,347,60,53
361,19,7,59,54
361,19,277,54,55
361,19,199,54,56
361,19,379,53,57
361,19,293,51,58
361,19,269,48,59
361,19,389,48,60
361,19,239,41,61
361,19,317,39,62
361,19,263,34,63
361,19,257,33,64
361,19,443,29,65
361,19,313,28,66
361,19,349,26,67
361,19,491,25,68
361,19,271,24,69
361,19,241,22,70
361,19,307,22,71
361,19,523,22,72
361,19,353,22,73
361,19,521,22,74
361,19,373,21,75
361,19,461,20,76
361,19,409,19,77
361,19,397,18,78
361,19,433,18,79
361,19,571,18,80
361,19,619,16,81
361,19,569,16,82
361,19,401,14,83
361,19,383,14,84
361,19,359,14,85
361,19,587,14,86
361,19,419,14,87
361,19,701,13,88
361,19,601,11,89
361,19,13,11,90
361,19,617,11,91
361,19,541,11,92
361,19,431,11,93
361,19,463,11,94
361,19,593,10,95
361,19,557,10,96
361,19,449,10,97
361,19,631,10,98
361,19,499,9,99
361,19,467,9,100
361,19,337,9,101
361,19,367,8,102
361,19,421,8,103
361,19,677,8,104
361,19,503,7,105
361,19,643,7,106
361,19,509,7,107
361,19,1031,6,108
361,19,827,6,109
361,19,563,6,110
361,19,811,5,111
361,19,547,5,112
361,19,577,5,113
361,19,1163,5,114
361,19,761,5,115
361,19,439,5,116
361,19,757,5,117
361,19,659,5,118
361,19,691,5,119
361,19,857,5,120
361,19,641,4,121
361,19,457,4,122
361,19,887,4,123
361,19,941,4,124
361,19,907,3,125
361,19,953,3,126
361,19,487,3,127
361,19,1039,3,128
361,19,739,3,129
361,19,709,3,130
361,19,607,3,131
361,19,683,3,132
361,19,859,3,133
361,19,863,3,134
361,19,809,3,135
361,19,829,3,136
361,19,919,3,137
361,19,821,3,138
361,19,2251,2,139
361,19,1013,2,140
361,19,1009,2,141
361,19,937,2,142
361,19,673,2,143
361,19,823,2,144
361,19,751,2,145
361,19,853,2,146
361,19,1481,2,147
361,19,1321,2,148
361,19,787,2,149
361,19,1801,2,150
361,19,733,2,151
361,19,1423,2,152
361,19,1123,2,153
361,19,599,2,154
361,19,773,2,155
361,19,1181,2,156
361,19,839,2,157
361,19,991,2,158
361,19,1949,2,159
361,19,1051,2,160
361,19,479,2,161
361,19,1019,2,162
361,19,1259,2,163
361,19,1223,1,164
361,19,3061,1,165
361,19,6949,1,166
361,19,8951,1,167
361,19,10211,1,168
361,19,1087,1,169
361,19,647,1,170
361,19,1579,1,171
361,19,1303,1,172
361,19,4231,1,173
361,19,653,1,174
361,19,1033,1,175
361,19,1021,1,176
361,19,769,1,177
361,19,9833,1,178
361,19,1511,1,179
361,19,971,1,180
361,19,2731,1,181
361,19,1907,1,182
361,19,1361,1,183
361,19,1901,1,184
361,19,1289,1,185
361,19,1153,1,186
361,19,3469,1,187
361,19,1213,1,188
361,19,967,1,189
361,19,1427,1,190
361,19,1933,1,191
361,19,1459,1,192
361,19,613,1,193
361,19,1789,1,194
361,19,3511,1,195
361,19,1483,1,196
361,19,1531,1,197
361,19,1093,1,198
361,19,1063,1,199
361,19,743,1,200
361,19,1471,1,201
361,19,1721,1,202
361,19,727,1,203
361,19,1307,1,204
361,19,1979,1,205
361,19,1237,1,206
361,19,1619,1,207
361,19,1171,1,208
361,19,2269,1,209
361,19,881,1,210
361,19,1109,1,211
361,19,883,1,212
361,19,2879,1,213
361,19,1601,1,214
361,19,2243,1,215
361,19,877,1,216
361,19,1069,1,217
361,19,1193,1,218
361,19,19,0,
529,23,29,8140,1
529,23,43,6087,2
529,23,19,5690,3
529,23,37,5229,4
529,23,41,4818,5
529,23,31,4352,6
529,23,3,2969,7
529,23,59,2833,8
529,23,61,2828,9
529,23,53,2778,10
529,23,89,1977,11
529,23,47,1961,12
529,23,67,1752,13
529,23,73,1349,14
529,23,97,1236,15
529,23,107,1027,16
529,23,101,1005,17
529,23,71,995,18
529,23,83,986,19
529,23,137,845,20
529,23,139,800,21
529,23,109,770,22
529,23,79,720,23
529,23,5,665,24
529,23,127,483,25
529,23,2,441,26
529,23,131,410,27
529,23,149,406,28
529,23,103,405,29
529,23,173,374,30
529,23,163,373,31
529,23,157,343,32
529,23,113,329,33
529,23,199,318,34
529,23,229,304,35
529,23,151,289,36
529,23,181,283,37
529,23,167,273,38
529,23,179,254,39
529,23,233,248,40
529,23,251,224,41
529,23,197,212,42
529,23,281,196,43
529,23,7,189,44
529,23,283,187,45
529,23,269,181,46
529,23,331,144,47
529,23,227,141,48
529,23,223,132,49
529,23,271,129,50
529,23,211,126,51
529,23,337,124,52
529,23,347,122,53
529,23,359,120,54
529,23,239,113,55
529,23,191,113,56
529,23,277,107,57
529,23,257,103,58
529,23,11,89,59
529,23,307,85,60
529,23,367,78,61
529,23,263,71,62
529,23,379,66,63
529,23,293,59,64
529,23,491,54,65
529,23,443,51,66
529,23,317,51,67
529,23,439,50,68
529,23,193,48,69
529,23,349,48,70
529,23,241,46,71
529,23,509,46,72
529,23,419,42,73
529,23,521,39,74
529,23,523,39,75
529,23,373,31,76
529,23,313,30,77
529,23,571,29,78
529,23,397,29,79
529,23,569,27,80
529,23,389,27,81
529,23,587,27,82
529,23,421,27,83
529,23,467,26,84
529,23,599,26,85
529,23,311,25,86
529,23,457,25,87
529,23,17,24,88
529,23,401,22,89
529,23,13,21,90
529,23,353,21,91
529,23,463,21,92
529,23,677,20,93
529,23,487,19,94
529,23,449,18,95
529,23,461,17,96
529,23,499,17,97
529,23,683,16,98
529,23,541,16,99
529,23,839,15,100
529,23,619,15,101
529,23,433,15,102
529,23,383,14,103
529,23,547,14,104
529,23,761,13,105
529,23,503,13,106
529,23,719,12,107
529,23,431,12,108
529,23,853,12,109
529,23,859,12,110
529,23,811,12,111
529,23,479,12,112
529,23,557,12,113
529,23,577,11,114
529,23,617,11,115
529,23,613,11,116
529,23,809,11,117
529,23,601,10,118
529,23,563,10,119
529,23,653,10,120
529,23,827,9,121
529,23,409,8,122
529,23,607,7,123
529,23,593,7,124
529,23,787,7,125
529,23,641,7,126
529,23,907,7,127
529,23,757,7,128
529,23,857,6,129
529,23,919,6,130
529,23,659,6,131
529,23,769,5,132
529,23,773,5,133
529,23,691,5,134
529,23,739,5,135
529,23,1049,5,136
529,23,1013,5,137
529,23,881,5,138
529,23,661,5,139
529,23,1097,4,140
529,23,1087,4,141
529,23,733,4,142
529,23,727,4,143
529,23,953,4,144
529,23,883,4,145
529,23,1069,4,146
529,23,1151,3,147
529,23,823,3,148
529,23,1559,3,149
529,23,829,3,150
529,23,1373,3,151
529,23,1229,3,152
529,23,971,3,153
529,23,1193,3,154
529,23,941,3,155
529,23,1163,3,156
529,23,631,3,157
529,23,1021,2,158
529,23,1291,2,159
529,23,2927,2,160
529,23,821,2,161
529,23,929,2,162
529,23,967,2,163
529,23,1289,2,164
529,23,1307,2,165
529,23,1823,2,166
529,23,1091,2,167
529,23,1459,2,168
529,23,1979,2,169
529,23,1931,2,170
529,23,977,2,171
529,23,1051,2,172
529,23,1009,2,173
529,23,1129,2,174
529,23,1223,2,175
529,23,797,2,176
529,23,1171,2,177
529,23,887,2,178
529,23,1987,2,179
529,23,709,2,180
529,23,1301,2,181
529,23,1181,2,182
529,23,647,2,183
529,23,1063,2,184
529,23,1427,2,185
529,23,1019,2,186
529,23,1879,2,187
529,23,1607,2,188
529,23,4027,1,189
529,23,3137,1,190
529,23,11177,1,191
529,23,1123,1,192
529,23,1297,1,193
529,23,1867,1,194
529,23,1109,1,195
529,23,1571,1,196
529,23,1033,1,197
529,23,2273,1,198
529,23,1759,1,199
529,23,1031,1,200
529,23,1481,1,201
529,23,2609,1,202
529,23,2729,1,203
529,23,1453,1,204
529,23,2467,1,205
529,23,5749,1,206
529,23,1249,1,207
529,23,1877,1,208
529,23,1697,1,209
529,23,2297,1,210
529,23,643,1,211
529,23,673,1,212
529,23,1319,1,213
529,23,1531,1,214
529,23,911,1,215
529,23,983,1,216
529,23,2801,1,217
529,23,3259,1,218
529,23,1583,1,219
529,23,1187,1,220
529,23,1657,1,221
529,23,2707,1,222
529,23,1619,1,223
529,23,863,1,224
529,23,4019,1,225
529,23,2837,1,226
529,23,1627,1,227
529,23,1429,1,228
529,23,2203,1,229
529,23,2039,1,230
529,23,8009,1,231
529,23,1259,1,232
529,23,1117,1,233
529,23,1447,1,234
529,23,1409,1,235
529,23,2311,1,236
529,23,1747,1,237
529,23,1039,1,238
529,23,1811,1,239
529,23,2683,1,240
529,23,1601,1,241
529,23,997,1,242
529,23,3037,1,243
529,23,2939,1,244
529,23,877,1,245
529,23,1201,1,246
529,23,3041,1,247
529,23,1433,1,248
529,23,991,1,249
529,23,4603,1,250
529,23,1973,1,251
529,23,1061,1,252
529,23,701,1,253
529,23,1217,1,254
529,23,23,0,
841,29,23,6866,1
841,29,19,6556,2
841,29,17,5413,3
841,29,43,4801,4
841,29,37,4201,5
841,29,41,4111,6
841,29,31,3864,7
841,29,3,3618,8
841,29,47,2929,9
841,29,59,2548,10
841,29,53,2342,11
841,29,61,1741,12
841,29,71,1631,13
841,29,67,1594,14
841,29,101,1402,15
841,29,89,1390,16
841,29,107,919,17
841,29,2,788,18
841,29,83,771,19
841,29,103,692,20
841,29,139,626,21
841,29,5,559,22
841,29,79,523,23
841,29,109,512,24
841,29,137,499,25
841,29,151,449,26
841,29,113,391,27
841,29,131,328,28
841,29,7,266,29
841,29,149,247,30
841,29,157,246,31
841,29,97,214,32
841,29,233,186,33
841,29,163,168,34
841,29,173,166,35
841,29,127,149,36
841,29,181,141,37
841,29,251,140,38
841,29,179,130,39
841,29,283,119,40
841,29,311,117,41
841,29,281,109,42
841,29,331,96,43
841,29,197,94,44
841,29,191,93,45
841,29,211,87,46
841,29,193,86,47
841,29,229,86,48
841,29,227,65,49
