focus_r,d,a,b,missing_prime,count,avg_lift_ratio,example_residues
961,7,11,17,17,4441,17,11772721;13214161;13814761;15256201;15856801
841,11,6,38,19,3417,19,19580401;21382201;21862681;23664481;24144961
361,15,2,58,29,3077,29,14895241;15736081;19219561;21862201;22703041
529,11,6,38,19,3054,19,15496009;17778289;19580089;20060569;21862369
529,11,1,43,43,2997,43,13453969;18619129;21261769;23784289;28949449
529,11,15,29,29,2990,29,12853369;19820329;23303809;25706209;26787289
529,11,3,41,41,2785,41,11772289;16336849;16697209;21622129;26186689
289,11,15,29,29,2772,29,5285569;6366649;8769049;13333609;16817089
961,19,14,62,31,2699,31,14895841;16097041;18619561;19820761;22343281
289,11,3,41,41,2680,41,13814089;23303569;23663929;33153409;33513769
841,11,1,43,43,2666,43,16096921;18739561;21262081;29069881;31592401
841,23,24,68,17,2616,17,17178001;18859681;19220041;22943761;23304121
841,11,3,41,41,2582,41,19099921;19460281;28949761;29310121;33874681
361,11,1,43,43,2526,43,9249601;14414761;19579921;22222561;24745081
289,11,1,43,43,2469,43,4925209;7447729;10090369;15255529;17778049
361,11,3,41,41,2433,41,13333681;18618961;23183521;23543881;28108441
289,19,14,62,31,2407,31,5165449;7687969;11411689;15135409;18859129
361,19,2,74,37,2390,37,11171521;15615961;20180521;24504841;24624961
529,19,2,74,37,2375,37,11532049;11652169;29429929;33874369;38198689
289,19,2,74,37,2374,37,7207489;7327609;11772049;16096369;20540809
961,11,3,41,41,2329,41,15616561;15976921;20541481;20901841;25826761
841,19,2,74,37,2285,37,15376201;15496321;28829641;33153961;37598401
961,11,1,43,43,2210,43,13934881;16577521;19100041;21742681;24265201
961,19,2,74,37,2075,37,13094041;17538481;17658601;22103041;26427361
361,15,1,59,59,1869,59,11291641;12612961;18378721;19700041;25465801
961,15,1,59,59,1798,59,15136081;22223161;23544481;29310241;36397321
361,23,24,68,17,1796,17,10450801;10811161;16576921;16937281;18979321
841,15,1,59,59,1720,59,18619441;19940761;25706521;27027841;34114921
289,15,1,59,59,1705,59,9129409;10450729;17537809;24624889;30390649
529,15,1,59,59,1678,59,24745249;30511009;31832329;37598089;46006489
529,27,2,106,53,1560,53,18378889;24024529;50210689;74955409;82042489
961,23,24,68,17,1516,17,12133081;18259201;20301241;24385321;30511441
361,23,23,69,23,1474,23,9730081;15255601;26306641;31832161;34594921
289,23,39,53,53,1469,53,21862129;23183449;34594849;582101809;3957593929
529,15,2,58,29,1460,29,30030529;33514009;40480969;43964449;50931409
361,27,2,106,53,1374,53,11051401;11772121;17417761;18138481;23784121
841,27,14,94,47,1368,47,16217041;20181001;25826641;27508321;42763561
361,19,5,71,71,1358,71,9489841;12853201;26546881;38438761;46967281
841,23,23,69,23,1351,23,17057881;22583401;25346161;33634441;50211001
289,15,2,58,29,1349,29,9609889;13093369;16576849;23543809;27027289
529,31,2,122,61,1306,61,14535049;46847329;54174649;61501969;68829289
961,19,5,71,71,1305,71,15496441;18859801;27388321;32553481;35916841
361,35,2,138,23,1282,23,13573921;16336681;41201521;49489801;52252561
841,19,5,71,71,1253,71,22823641;26187001;43244041;48409201;56937721
841,27,2,106,53,1248,53,22463281;34475281;40841641;47208001;47928721
961,27,2,106,53,1240,53,22823761;29190121;35556481;41922841;42643561
289,31,2,122,61,1214,61,12492769;30150409;8691042649;8768640169;15868813249
361,31,2,122,61,1174,61,12372721;27027361;30030361;34354681;41682001
961,23,23,69,23,1167,23,14055001;16817761;19580521;25106041;33394321
529,31,8,116,29,1162,29,15135649;25586089;46486969;63904369;77838289
529,23,6,86,43,1157,43,18979489;44805289;55135609;60300769;80961409
289,23,13,79,79,1115,79,19940209;25465729;38919169;2483241049;9234225289
361,31,8,116,29,1112,29,21742081;25225561;28709041;32192521;35676001
841,35,2,138,23,1081,23,37478281;40241041;43003801;51292081;56817601
961,39,20,136,17,1081,17,21262201;37598521;39640561;43724641;45766681
841,31,2,122,61,1073,61,38439241;41442241;60421201;70751521;89730481
289,23,3,89,89,1066,89,5525809;7928209;18618889;29309569;37597849
529,23,3,89,89,1065,89,17177689;27868369;81321769;83724169;113393809
841,23,3,89,89,1059,89,22703521;25105921;33394201;35796601;54775561
841,23,6,86,43,1031,43,16457281;21622441;26787601;31952761;37117921
961,31,2,122,61,1030,61,21142081;35796721;38799721;43124041;57778681
529,35,6,134,67,1028,67,13093609;28108609;53333809;76396849;77477929
961,35,2,138,23,1018,23,26187121;28949881;51051961;53814721;56577481
289,23,23,69,23,1012,23,6006289;11531809;17057329;19820089;30871129
361,23,6,86,43,1004,43,19940281;30270601;35435761;40600921;45766081
361,23,3,89,89,1000,89,10090441;20781121;31471801;44564881;52853161
289,35,6,134,67,973,67,9009289;24024289;32072329;194114209;5393148049
529,39,4,152,19,967,19,20661169;34354849;36637129;41201689;43483969
841,39,20,136,17,966,17,22223041;26307121;28349161;30391201;32433241
961,19,35,41,41,964,41,16697641;31472401;41322241;46247161;100421281
961,23,3,89,89,961,89,12493441;23184121;33874801;44565481;46967881
289,31,8,116,29,949,29,8648929;15615889;19099369;26066329;36516769
529,43,29,143,29,942,29,17898409;38799289;42282769;52733209;63183649
289,23,6,86,43,938,43,12973249;18138409;28468729;33633889;4966361689
361,35,6,134,67,930,67,20420761;29549881;61742041;85886161;92853121
841,39,4,152,19,913,19,15616441;17898721;24745561;36156961;40721521
961,39,1,155,31,906,31,27748681;46367281;61262161;64985881;68709601
961,35,6,134,67,903,67,22583521;23664601;46727641;47808721;54775681
841,31,62,62,31,894,31,15736561;23184001;26907721;30631441;38078881
529,39,8,148,37,891,37,25345849;47568049;60901369;65345809;83123569
361,31,62,62,31,884,31,11652001;33994321;48889201;52612921;63784081
529,31,62,62,31,880,31,32072569;35796289;99099529;113994409;125165569
289,35,2,138,23,873,23,15375649;20901169;26426689;31952209;310990969
361,47,4,184,23,858,23,14655001;22943281;25706041;36757081;39519841
961,23,6,86,43,853,43,14295241;19460401;24625561;34955881;40121041
841,39,46,110,23,835,23,18499321;48889681;73754521;79280041;93093841
529,27,1,107,107,834,107,15736249;43243729;68949409;80000449;105706129
841,39,1,155,31,829,31,32313121;36036841;43484281;76997761;88168921
361,31,56,68,17,815,17,19459801;21501841;33754081;43964281;46006321
961,27,26,82,41,812,41,12853801;17778721;22703641;47328241;52253161
841,35,6,134,67,804,67,20541361;28589401;29670481;36637441;61862641
961,47,2,186,31,800,31,25706641;33154081;36877801;48048961;59220121
289,47,2,186,31,798,31,11051329;14775049;22222489;33393649;271711729
529,47,2,186,31,787,31,27988489;31712209;57778249;72673129;106186609
361,39,1,155,31,783,31,65465761;84084361;95255521;128769001;132492721
841,47,4,184,23,779,23,21982801;52373161;68949721;71712481;74475241
289,47,4,184,23,765,23,13693969;16456729;21982249;24745009;35796049
529,43,26,146,73,759,73,97898329;121802209;124204609;150510889;168048409
961,47,4,184,23,759,23,13454401;18979921;24505441;30030961;32793721
289,39,8,148,37,758,37,21021289;5354349289;8225457529;9661011649;15403228129
289,27,1,107,107,754,107,10330609;12132409;36036289;37838089;1940058409
361,27,1,107,107,724,107,44084401;56937241;58739041;69790081;95495761
841,27,7,101,101,720,101,33033841;57298081;63664441;69430201;75796561
841,23,16,76,19,718,19,21141961;30271081;48529321;57658441;66787561
289,27,2,106,53,715,53,35315569;1862460889;8031463729;12144132289;26538472249
289,47,14,174,29,712,29,21621889;892491889;4267984009;7643476129;11018968249
361,59,6,230,23,711,23,12973321;18498841;57177481;79279561;93093361
361,39,40,116,29,702,29,17778121;21261601;35195521;66546841;76997281
841,27,1,107,107,695,107,16337161;18138961;29190001;43844641;56697481
361,39,8,148,37,694,37,16096441;69429721;91651921;100540801;109429681
361,35,11,129,43,694,43,17658001;27988321;48648961;58979281;64144441
361,35,66,74,37,683,37,15135481;24024361;41802121;59579881;72913201
289,47,42,146,73,677,73,17297569;34835089;35675929;815254729;3647564209
961,27,1,107,107,677,107,12613561;14415361;64024921;65826721;76877761
841,47,2,186,31,676,31,26547361;33994801;56337121;78679441;97298041
961,39,10,146,73,672,73,36036961;39160081;74235121;106187041;114955801
841,39,8,148,37,666,37,42523321;51412201;95856601;100301041;104745481
361,47,2,186,31,663,31,15015361;22462801;33633961;55976281;59700001
529,47,24,164,41,656,41,38438929;48288769;97537969;112312729;117237649
361,39,10,146,73,645,73,14294641;43724041;49369681;66907201;93213481
841,59,6,230,23,642,23,17538361;23063881;36877681;50691481;53454241
961,39,8,148,37,640,37,22463401;49130041;53574481;115796641;129129961
961,59,6,230,23,635,23,39400321;47688601;86367241;113994841;116757601
289,63,4,248,31,630,31,6967249;10690969;14414689;77717929;4888764169
529,59,14,222,37,630,37,30150649;34595089;39039529;96817249;114595009
289,47,24,164,41,614,41,15856129;25705969;15209234329;21572230969;29525976769
361,39,20,136,17,609,17,13814161;15856201;17898241;21982321;40360681
529,63,4,248,31,589,31,53694169;98378809;120721129;161682049;169129489
841,11,17,27,3,570,95.4947368421,65466241;71952721;83844601;102222961;108709441
961,63,4,248,31,557,31,36517441;55136041;92373241;99820681;125886721
361,55,104,116,29,550,29,9850201;27267601;58618921;79519801;103904161
529,35,1,139,139,539,139,89009449;122402809;58427209369;63875372089;89988979609
841,71,8,276,23,531,23,37958761;54535321;95976721;101502241;109790521
529,35,3,137,137,528,137,50571049;111712129;116396809;9957347929;20665805689
961,47,24,164,41,526,41,22943881;52493401;72193081;82042921;111592441
529,23,16,76,19,525,19,23904409;28468969;33033529;74114569;78679129
289,35,1,139,139,519,139,23423689;2444442289;7837469929;9311822809;18623525209
529,51,2,202,101,515,101,44324809;146667049;86983096729;105957732409;43773770569
289,71,8,276,23,513,23,7567849;35195449;37958209;2250928969;3143300449
361,35,3,137,137,513,137,54414721;70871161;115555801;148468681;164925121
361,71,8,276,23,508,23,14054401;22342681;102462721;116276521;163243441
361,35,22,118,59,499,59,26066401;47327641;68588881;75675961;104024281
289,51,2,202,101,498,101,9249529;26666929;232912969;931290649;4151587729
961,71,8,276,23,496,23,23904841;43244161;46006921;51532441;54295201
289,35,3,137,137,492,137,27868129;32552809;8535847609;19166707849;24404540449
529,51,10,194,97,491,97,22462969;51411889;74715169;86366809;87922435129
961,35,1,139,139,491,139,20061001;36757681;58499401;91892761;103544401
361,35,1,139,139,480,139,39760081;44805121;56456761;73153441;144985201
529,55,8,212,53,475,53,14174689;52372849;58739209;71471929;166967329
841,63,4,248,31,474,31,29910721;70871641;74595361;100661401;111832561
289,55,8,212,53,466,53,5645929;12012289;31111369;13928875249;34492218049
529,31,35,89,89,459,89,52132609;62823289;73513969;105586009;126967369
841,35,1,139,139,458,139,20661481;87448201;104144881;109189921;120841561
841,47,24,164,41,456,41,21502321;36277081;75676441;115075801;129850561
361,47,24,164,41,453,41,45285601;74835121;79760041;84684961;99459721
289,63,88,164,41,451,41,16024008289;22387004929;27159252409;28750001569;31931499889
529,47,47,141,47,451,47,22703209;79159609;90450889;135616009;152552929
529,55,2,218,109,448,109,27147649;69670129;95856289;122042449;135135529
961,95,6,374,17,442,17,28709641;43003921;47088001;71592481;92012881
961,35,3,137,137,441,137,45406321;83003881;99460321;127688521;132373201
289,51,10,194,97,434,97,1280479489;2987624929;10514584369;16334398369;18041543809
961,47,47,141,47,433,47,32673601;83484361;123003841;529489921;37858461601
289,55,2,218,109,432,109,9079030249;38682484129;42911548969;89431262209;93660327049
361,11,17,27,3,431,81.3341067285,20300641;26787121;38679001;45165481;75435721
841,35,3,137,137,429,137,24625441;41081881;52853641;57538321;106907641
289,75,1,299,23,428,23,18979249;5936811169;7721554129;9506297089;10398668569
961,59,1,235,47,423,47,27148081;44085001;49730641;77958841;123123961
361,59,14,222,37,422,37,20901241;65345641;140901121;149790001;158678881
529,87,7,341,31,420,31,66186649;129489889;3194111449;9018009529;14841907609
841,55,56,164,41,414,41,57057841;61982761;66907681;71832601;76757521
289,75,13,287,41,405,41,1125284449;5897531929;20214274369;42484762609;44075511769
961,51,2,202,101,403,101,39520441;51652561;56937841;69069961;93334201
361,63,4,248,31,401,31,22102441;40721041;51892201;81681961;89129401
361,23,18,74,37,400,77.145,21141481;34474801;61141441;74474761;101141401
529,95,3,377,29,400,29,18258769;126246649;136697089;178498849;21417276409
841,11,17,27,17,398,133.266331658,65466241;71952721;83844601;102222961;108709441
529,71,2,282,47,393,47,39880369;45526009;62462929;90691129;96336769
529,71,120,164,41,391,41,21982489;41682169;59554415449;74959565209;98067289849
529,63,8,244,61,389,61,64144609;93453889;108108529;38701102969;27241174489
529,47,16,172,43,386,43,35075569;138378769;179700049;20478778849;28557089089
529,95,8,372,31,382,31,19459969;30631129;56697169;112552969;160961329
841,39,22,134,67,379,67,33754561;65946721;106186921;138379081;146427121
289,63,8,244,61,372,61,11368157089;20835054529;32668676329;58702644289;63436093009
