iteration,focus_r,active_before,active_after,d,a,b,q,fully_covered,partially_reduced,unknown_fullness,empty_after_application,validation_failures,score_full,score_partial,score_negative_q,score_coverage_ratio
1,529,65129,64503,311,84,1160,24360,626,0,49117,0,0,626,49117,-24360,0.0
2,529,64503,63905,351,40,1364,13640,598,0,48747,0,0,598,48747,-13640,0.0
3,529,63905,63522,191,20,744,3720,383,0,48747,0,0,383,48747,-3720,0.0
4,529,63522,63152,131,150,374,56100,370,0,523,0,0,370,523,-56100,0.0
5,529,63152,62789,407,16,1612,6448,363,0,20583,0,0,363,20583,-6448,0.0
6,529,62789,62612,311,14,1230,17220,177,0,55339,0,0,177,55339,-17220,0.0
7,529,62612,62462,191,24,740,4440,150,0,55956,0,0,150,55956,-4440,0.0
8,529,62462,62341,191,12,752,2256,121,0,27397,0,0,121,27397,-2256,0.0
9,529,62341,62225,143,8,564,1128,116,0,55186,0,0,116,55186,-1128,0.0
10,529,62225,62111,311,5,1239,24780,114,0,55997,0,0,114,55997,-24780,0.0
11,529,62111,61998,255,28,992,6944,113,0,12341,0,0,113,12341,-6944,0.0
12,529,61998,61902,143,224,348,19488,96,0,14411,0,0,96,14411,-19488,0.0
13,529,61902,61836,143,14,558,7812,66,0,34875,0,0,66,34875,-7812,0.0
14,529,61836,61780,167,1,667,2668,56,0,5875,0,0,56,5875,-2668,0.0
15,529,61780,61732,215,12,848,2544,48,0,25633,0,0,48,25633,-2544,0.0
16,529,61732,61686,311,40,1204,12040,46,0,60059,0,0,46,60059,-12040,0.0
17,529,61686,61643,167,32,636,5088,43,0,12037,0,0,43,12037,-5088,0.0
18,529,61643,61603,151,20,584,2920,40,0,57549,0,0,40,57549,-2920,0.0
19,529,61603,61568,239,8,948,1896,35,0,58431,0,0,35,58431,-1896,0.0
20,529,61568,61534,231,20,904,4520,34,0,57702,0,0,34,57702,-4520,0.0
21,529,61534,61502,167,12,656,1968,32,0,26976,0,0,32,26976,-1968,0.0
22,529,61502,61472,239,12,944,2832,30,0,31453,0,0,30,31453,-2832,0.0
23,529,61472,61444,159,4,632,632,28,0,58335,0,0,28,58335,-632,0.0
24,529,61444,61418,251,29,975,113100,26,0,42471,0,0,26,42471,-113100,0.0
25,529,61418,61394,171,14,670,9380,24,0,59626,0,0,24,59626,-9380,0.0
26,529,61394,61370,143,236,336,19824,24,0,31412,0,0,24,31412,-19824,0.0
27,529,61370,61350,311,504,740,93240,20,0,38431,0,0,20,38431,-93240,0.0
28,529,61350,61331,263,18,1034,18612,19,0,38793,0,0,19,38793,-18612,0.0
29,529,61331,61312,143,276,296,20424,19,0,6736,0,0,19,6736,-20424,0.0
30,529,61312,61295,87,112,236,6608,17,0,23926,0,0,17,23926,-6608,0.0
31,529,61295,61279,135,4,536,536,16,0,59527,0,0,16,59527,-536,0.0
32,529,61279,61263,143,24,548,3288,16,0,58492,0,0,16,58492,-3288,0.0
33,529,61263,61248,263,216,836,45144,15,0,23899,0,0,15,23899,-45144,0.0
34,529,61248,61234,83,9,323,11628,14,0,3987,0,0,14,3987,-11628,0.0
35,529,61234,61221,131,11,513,22572,13,0,23988,0,0,13,23988,-22572,0.0
36,529,61221,61208,191,300,464,34800,13,0,21879,0,0,13,21879,-34800,0.0
37,529,61208,61197,191,180,584,26280,11,0,41676,0,0,11,41676,-26280,0.0
38,529,61197,61187,143,36,536,4824,10,0,42981,0,0,10,42981,-4824,0.0
39,529,61187,61181,287,32,1116,8928,6,0,9274,0,0,6,9274,-8928,0.0
40,529,61181,61176,135,76,464,8816,5,0,8748,0,0,5,8748,-8816,0.0
41,529,61176,61172,143,21,551,46284,4,0,21595,0,0,4,21595,-46284,0.0
42,529,61172,61169,55,68,152,2584,3,0,1981,0,0,3,1981,-2584,0.0
43,529,61169,61167,131,114,410,46740,2,0,25286,0,0,2,25286,-46740,0.0
44,529,61167,61166,103,116,296,8584,1,0,44006,0,0,1,44006,-8584,0.0
45,529,61166,61165,91,74,290,21460,1,0,44004,0,0,1,44004,-21460,0.0
46,529,61165,61164,395,14,1566,21924,1,0,31872,0,0,1,31872,-21924,0.0
47,529,61164,61163,143,108,464,12528,1,0,18771,0,0,1,18771,-12528,0.0
48,529,61163,61162,27,46,62,2852,1,0,2133,0,0,1,2133,-2852,0.0
49,529,61162,61162,103,206,206,412,0,0,61162,0,0,0,61162,-412,0.0
50,529,61162,61162,143,4,568,568,0,0,61162,0,0,0,61162,-568,0.0
