residue,modulus
1,120120
289,120120
361,120120
529,120120
841,120120
961,120120
1201,120120
1369,120120
1681,120120
1849,120120
2209,120120
2521,120120
2641,120120
2809,120120
3361,120120
3481,120120
3721,120120
4369,120120
4489,120120
5041,120120
5329,120120
5569,120120
5881,120120
6241,120120
6889,120120
7561,120120
7921,120120
8089,120120
8761,120120
9409,120120
9601,120120
10201,120120
10441,120120
10609,120120
10921,120120
11281,120120
11449,120120
11881,120120
12601,120120
12721,120120
12769,120120
13561,120120
13729,120120
14401,120120
14569,120120
15121,120120
15409,120120
15649,120120
16129,120120
16249,120120
16921,120120
17161,120120
17761,120120
18001,120120
18481,120120
18769,120120
18841,120120
19009,120120
19321,120120
19681,120120
20329,120120
20521,120120
21121,120120
21169,120120
21841,120120
21961,120120
22201,120120
22801,120120
23521,120120
23641,120120
24049,120120
24361,120120
24649,120120
24721,120120
25489,120120
26041,120120
26209,120120
26569,120120
27721,120120
27889,120120
28081,120120
28681,120120
28921,120120
29401,120120
29761,120120
29929,120120
30241,120120
31201,120120
31249,120120
32041,120120
32089,120120
32761,120120
32881,120120
33049,120120
33289,120120
33601,120120
34609,120120
35281,120120
35401,120120
35641,120120
36241,120120
36481,120120
36961,120120
37129,120120
37249,120120
37489,120120
37801,120120
38089,120120
38329,120120
38641,120120
38809,120120
39001,120120
39601,120120
39649,120120
40321,120120
40681,120120
42121,120120
43201,120120
43369,120120
44521,120120
44641,120120
44881,120120
45049,120120
45481,120120
46201,120120
46489,120120
46561,120120
47161,120120
47329,120120
47401,120120
48049,120120
48409,120120
48721,120120
48889,120120
49009,120120
49561,120120
49681,120120
49729,120120
49921,120120
50521,120120
50569,120120
51241,120120
51529,120120
51769,120120
52081,120120
52441,120120
53089,120120
53881,120120
53929,120120
54121,120120
54289,120120
54721,120120
54961,120120
55441,120120
55801,120120
55969,120120
56281,120120
56401,120120
56809,120120
57121,120120
57481,120120
57961,120120
58081,120120
58249,120120
58801,120120
58969,120120
59929,120120
60481,120120
60601,120120
61681,120120
62449,120120
63001,120120
63361,120120
64201,120120
64849,120120
65041,120120
65209,120120
65521,120120
65641,120120
65809,120120
65881,120120
66049,120120
66361,120120
66721,120120
66889,120120
67201,120120
67321,120120
67369,120120
68041,120120
68161,120120
68401,120120
69001,120120
69169,120120
69721,120120
70009,120120
70249,120120
70561,120120
70849,120120
71089,120120
71569,120120
72361,120120
72409,120120
72601,120120
73441,120120
73921,120120
74281,120120
74881,120120
75121,120120
75769,120120
75961,120120
76129,120120
76441,120120
76561,120120
76729,120120
77281,120120
77401,120120
77641,120120
78241,120120
78289,120120
78961,120120
79081,120120
79249,120120
79801,120120
80089,120120
80161,120120
80809,120120
80929,120120
81481,120120
81649,120120
82009,120120
82441,120120
82681,120120
83329,120120
83521,120120
84001,120120
84289,120120
84361,120120
84529,120120
84841,120120
85201,120120
85801,120120
85849,120120
86641,120120
86689,120120
86881,120120
87481,120120
87649,120120
88201,120120
88321,120120
88729,120120
89041,120120
89569,120120
90169,120120
90721,120120
90841,120120
91081,120120
92401,120120
92569,120120
92689,120120
92929,120120
93241,120120
93361,120120
93601,120120
94249,120120
94441,120120
94921,120120
95209,120120
95761,120120
96121,120120
96721,120120
96769,120120
97561,120120
97969,120120
98281,120120
98569,120120
98641,120120
98809,120120
99961,120120
100129,120120
100489,120120
100921,120120
101161,120120
101641,120120
101929,120120
102001,120120
102481,120120
103009,120120
103321,120120
103489,120120
103849,120120
104161,120120
104281,120120
104329,120120
105121,120120
105169,120120
105361,120120
106129,120120
106681,120120
107881,120120
108529,120120
109201,120120
109321,120120
109561,120120
109729,120120
110161,120120
110401,120120
110881,120120
111049,120120
111409,120120
111721,120120
111841,120120
112081,120120
112561,120120
112921,120120
113401,120120
113569,120120
113689,120120
114241,120120
114409,120120
115201,120120
115249,120120
116761,120120
117049,120120
117121,120120
117289,120120
118561,120120
118609,120120
118801,120120
119401,120120
119641,120120
