residue,modulus,r_mod_24,r_mod_5,r_mod_7,r_mod_11,r_mod_13,r_mod_17,gcd_r_modulus,is_square_integer,integer_square_root,is_quadratic_residue_mod_5,is_quadratic_residue_mod_7,is_quadratic_residue_mod_11,is_quadratic_residue_mod_13,is_quadratic_residue_mod_17,is_quadratic_residue_mod_global,square_roots_mod_global
1,120120,1,1,1,1,1,1,1,True,1,True,True,True,True,True,True,1 1429 2729 3431 4159 5279 5851 6161 8009 8581 10009 12011 12739 13441 13859 14741 15289 16171 16589 17291
289,120120,1,4,2,3,3,0,1,True,17,True,True,True,True,True,True,17 347 1733 4273 4637 5737 6023 6353 9377 10027 10357 10643 11743 13667 13997 14647 15383 16033 16363 18287
361,120120,1,1,4,9,10,4,1,True,19,True,True,True,True,True,True,19 1801 2021 2879 3061 5129 6949 8209 8951 9809 9991 10211 11069 12031 12889 14891 15139 17141 17999 18961
529,120120,1,4,4,1,9,2,1,True,23,True,True,True,True,True,True,23 1297 2707 2837 4027 5567 5983 7303 8447 8713 8843 10033 11177 11573 12847 14453 15577 17183 18457 18853
841,120120,1,1,1,5,9,8,1,True,29,True,True,True,True,True,True,29 491 601 1511 2941 7069 7979 8609 9071 9409 10039 10501 10949 11411 11521 12041 17989 18509 18619 19081
961,120120,1,1,2,4,12,9,1,True,31,True,True,True,True,True,True,31 1201 3749 4259 4519 5491 6521 8039 8809 9209 9979 10811 11981 13499 13759 14269 15761 16271 16531 18049
1201,120120,1,1,4,2,5,11,1,False,,True,True,False,False,False,False,
1369,120120,1,4,4,5,4,9,1,True,37,True,True,True,True,True,True,37 2273 3733 3967 4877 6043 6277 6827 7187 9137 9973 10883 12283 12833 13193 14887 15143 16837 17197 17747
1681,120120,1,1,1,9,4,15,1,True,41,True,True,True,True,True,True,41 349 1471 1961 2351 3781 6229 8231 8539 9479 9661 10051 10541 11789 11971 12361 17669 18059 18241 19489
1849,120120,1,4,1,1,3,13,1,True,43,True,True,True,True,True,True,43 1343 1387 2617 2773 3233 4663 5347 5963 7237 7393 8623 9967 11353 13243 14057 15973 16787 18677 20063
2209,120120,1,4,4,9,12,16,1,True,47,True,True,True,True,True,True,47 1097 1867 2137 4727 6053 7103 7873 8143 9287 10057 10733 11107 12917 13967 14737 15293 16063 17113 18923
2521,120120,1,1,1,2,12,5,1,False,,True,True,False,True,False,False,
2641,120120,1,1,2,1,2,6,1,False,,True,True,True,False,False,False,
2809,120120,1,4,2,4,1,4,1,True,53,True,True,True,True,True,True,53 493 1663 3797 4057 4343 5513 5953 8347 9517 9803 10063 10217 13807 14353 14507 15523 15677 16223 19813
3361,120120,1,1,1,6,7,12,1,False,,True,True,False,False,False,False,
3481,120120,1,1,2,5,10,13,1,True,59,True,True,True,True,True,True,59 851 1151 3139 4231 5141 5779 6871 7781 7949 10069 10861 11161 12071 12239 14879 15151 17791 17959 18869
3721,120120,1,1,4,3,3,15,1,True,61,True,True,True,True,True,True,61 919 1699 2921 3449 3701 4559 8069 8311 9091 9949 11951 12931 13459 13711 14569 15461 16319 16571 17099
4369,120120,1,4,1,2,1,0,1,False,,True,True,False,True,True,False,
4489,120120,1,4,2,1,4,1,1,True,67,True,True,True,True,True,True,67 353 1627 2377 2663 3343 3937 4357 5653 6073 6667 7633 8383 9943 10363 12673 17357 19667 20087 21647
5041,120120,1,1,1,3,10,9,1,True,71,True,True,True,True,True,True,71 1931 3361 3569 4439 4999 5011 6649 7001 8651 10081 11369 11941 13019 13579 14449 15581 16451 17011 18089
5329,120120,1,4,2,5,12,8,1,True,73,True,True,True,True,True,True,73 697 983 3307 4217 4987 5023 5933 6703 9313 9797 9937 10223 10993 14087 14227 15803 15943 19037 19807
5569,120120,1,4,4,3,5,10,1,False,,True,True,True,False,False,False,
5881,120120,1,1,1,7,5,16,1,False,,True,True,False,False,True,False,
6241,120120,1,1,4,4,1,2,1,True,79,True,True,True,True,True,True,79 779 1769 2081 3379 5381 6239 6631 7229 9931 10789 11779 12091 12791 13781 14639 15391 16249 17239 17939
6889,120120,1,4,1,3,12,4,1,True,83,True,True,True,True,True,True,83 853 1513 4087 4493 5153 5923 6287 7727 8497 9157 10093 12293 13733 14503 14867 15163 15527 16297 17737
7561,120120,1,1,1,4,8,13,1,False,,True,True,True,False,True,False,
7921,120120,1,1,4,1,4,16,1,True,89,True,True,True,True,True,True,89 2221 2641 4951 5059 7061 7369 7789 7919 9371 9791 10099 10229 10649 12101 12959 17071 17929 19381 19801
8089,120120,1,4,4,4,3,14,1,False,,True,True,True,True,False,True,607 1153 1993 3397 3467 4013 4853 6613 8017 8857 9403 9473 10547 13477 14023 14863 15167 16007 16553 19483
8761,120120,1,1,4,5,12,6,1,False,,True,True,True,True,False,True,359 499 1591 2501 3271 6739 7649 8419 8741 9511 9599 10369 10421 11279 12371 12511 17519 17659 18751 19609
9409,120120,1,4,1,4,10,8,1,True,97,True,True,True,True,True,True,97 1553 2477 2983 3023 3907 4453 5557 6103 7027 8483 9913 11537 11563 12487 13033 16997 17543 18467 18493
9601,120120,1,1,4,9,7,13,1,False,,True,True,True,False,True,False,
10201,120120,1,1,2,4,9,1,1,True,101,True,True,True,True,True,True,101 361 1901 4189 4651 5359 5821 6191 7361 8369 9649 10111 11651 11911 12659 13829 16201 17371 18119 18379
10441,120120,1,1,4,2,2,3,1,False,,True,True,False,False,False,False,
10609,120120,1,4,4,5,1,1,1,True,103,True,True,True,True,True,True,103 2053 2963 3043 3197 3953 5903 6967 7957 9203 9907 10817 12973 13207 13963 14117 15913 16067 16823 17057
