r,n,d,a,b,x,y,z,verified,rule_modulus,lcm_120120_rule_modulus,reason_not_covered,targeted_M,total_subresidues,covered_subresidues,uncovered_subresidues
1,120121,35,38,102,30039,379822602,141502538,True,3876,38798760,rule covers only subresidues after lifting,38798760,323,4,319
289,289,11,10,34,75,8670,2550,True,340,2042040,rule covers only subresidues after lifting,2042040,17,2,15
361,361,11,6,38,93,22382,3534,True,228,2282280,rule covers only subresidues after lifting,2282280,19,2,17
529,529,23,23,69,138,12696,4232,True,276,2762760,rule covers only subresidues after lifting,2762760,23,1,22
841,841,15,2,58,214,359948,12412,True,116,3483480,rule covers only subresidues after lifting,3483480,29,2,27
961,961,19,14,62,245,67270,15190,True,868,3723720,rule covers only subresidues after lifting,3723720,31,2,29
1201,1201,23,24,68,306,61251,21618,True,408,2042040,rule covers only subresidues after lifting,2042040,17,2,15
1369,1369,19,2,74,347,950086,25678,True,148,4444440,rule covers only subresidues after lifting,4444440,37,2,35
1681,1681,11,3,41,423,948084,69372,True,492,4924920,rule covers only subresidues after lifting,4924920,41,2,39
1849,1849,11,1,43,465,3439140,79980,True,172,5165160,rule covers only subresidues after lifting,5165160,43,2,41
2209,2209,47,47,141,564,106032,35344,True,564,5645640,rule covers only subresidues after lifting,5645640,47,1,46
2521,2521,31,8,116,638,804199,55462,True,232,3483480,rule covers only subresidues after lifting,3483480,29,2,27
2641,2641,11,6,38,663,1167322,184314,True,228,2282280,rule covers only subresidues after lifting,2282280,19,2,17
2809,2809,27,2,106,709,3983162,75154,True,212,6366360,rule covers only subresidues after lifting,6366360,53,2,51
3361,3361,39,20,136,850,571370,84025,True,680,2042040,rule covers only subresidues after lifting,2042040,17,2,15
3481,3481,15,1,59,874,12169576,206264,True,236,7087080,rule covers only subresidues after lifting,7087080,59,2,57
3721,3721,31,2,122,938,6980596,114436,True,244,7327320,rule covers only subresidues after lifting,7327320,61,2,59
4369,4369,11,10,34,1095,1913622,562830,True,340,2042040,rule covers only subresidues after lifting,2042040,17,2,15
4489,4489,35,6,134,1131,3384706,151554,True,804,8048040,rule covers only subresidues after lifting,8048040,67,2,65
5041,5041,19,5,71,1265,5101492,359260,True,1420,8528520,rule covers only subresidues after lifting,8528520,71,2,69
5329,5329,47,42,146,1344,682112,196224,True,6132,8768760,rule covers only subresidues after lifting,8768760,73,2,71
5569,5569,71,2,282,1410,15704580,111380,True,564,5645640,rule covers only subresidues after lifting,5645640,47,2,45
5881,5881,39,8,148,1480,4351940,235240,True,296,4444440,rule covers only subresidues after lifting,4444440,37,2,35
6241,6241,79,158,158,1580,249640,249640,True,316,9489480,rule covers only subresidues after lifting,9489480,79,1,78
6889,6889,23,9,83,1728,5290752,573696,True,2988,29909880,rule covers only subresidues after lifting,29909880,249,2,247
